Freq (Hz),s21avg
2300000000.0,-4.130500669950907
2300400400.4004006,-4.171286593210317
2300800800.800801,-4.213371832956552
2301201201.2012014,-4.255457072702838
2301601601.6016016,-4.2975423124490755
2302002002.0020022,-4.3396275521953624
2302402402.4024024,-4.382095925374698
2302802802.802803,-4.425311352239278
2303203203.203203,-4.468526779103805
2303603603.603604,-4.5117422059683845
2304004004.004004,-4.554957632832912
2304404404.4044046,-4.59531682719073
2304804804.804805,-4.630229252582143
2305205205.2052054,-4.665141677973598
2305605605.6056056,-4.700054103365014
2306006006.0060062,-4.73496652875647
2306406406.4064064,-4.773587575285603
2306806806.806807,-4.819126422275109
2307207207.207207,-4.8646652692645596
2307607607.607608,-4.910204116254064
2308008008.008008,-4.955742963243515
2308408408.4084086,-5.001405351260948
2308808808.808809,-5.047293184204999
2309209209.2092094,-5.0931810171491
2309609609.6096096,-5.139068850093151
2310010010.0100102,-5.184956683037253
2310410410.4104104,-5.232132292649502
2310810810.810811,-5.281607247232044
2311211211.211211,-5.3310822018145245
2311611611.611612,-5.380557156397066
2312012012.012012,-5.43003211097955
2312412412.4124126,-5.47783238151186
2312812812.812813,-5.522706555736579
2313213213.2132134,-5.567580729961354
2313613613.6136136,-5.612454904186074
2314014014.0140142,-5.657329078410849
2314414414.4144144,-5.705167373734828
2314814814.814815,-5.758074396467068
2315215215.215215,-5.810981419199249
2315615615.615616,-5.863888441931489
2316016016.016016,-5.916795464663667
2316416416.4164166,-5.966440237764954
2316816816.816817,-6.010624667901031
2317217217.2172174,-6.0548090980371585
2317617617.6176176,-6.098993528173239
2318018018.0180182,-6.143177958309366
2318418418.4184184,-6.189788632065541
2318818818.818819,-6.240374760407732
2319219219.219219,-6.290960888749864
2319619619.61962,-6.341547017092058
2320020020.02002,-6.39213314543419
2320420420.4204206,-6.4436331913434035
2320820820.820821,-6.496599313349642
2321221221.2212214,-6.549565435355942
2321621621.6216216,-6.60253155736218
2322022022.0220222,-6.655497679368482
2322422422.4224224,-6.708598354812007
2322822822.822823,-6.761910372543976
2323223223.223223,-6.815222390275884
2323623623.623624,-6.8685344080078545
2324024024.024024,-6.921846425739763
2324424424.4244246,-6.977227913876223
2324824824.824825,-7.035792394563672
2325225225.2252254,-7.094356875251192
2325625625.6256256,-7.1529213559386395
2326026026.0260262,-7.211485836626157
2326426426.4264264,-7.26632543342505
2326826826.826827,-7.3155543655197
2327227227.227227,-7.364783297614292
2327627627.627628,-7.41401222970894
2328028028.028028,-7.463241161803533
2328428428.4284286,-7.518355192349664
2328828828.828829,-7.582151199819164
2329229229.2292295,-7.645947207288744
2329629629.6296296,-7.709743214758245
2330030030.0300303,-7.773539222227823
2330430430.4304304,-7.8360317487404805
2330830830.830831,-7.896640761205544
2331231231.231231,-7.957249773670539
2331631631.631632,-8.017858786135601
2332032032.032032,-8.078467798600597
2332432432.4324327,-8.136550661327213
2332832832.832833,-8.191057862829785
2333233233.2332335,-8.245565064332423
2333633633.6336336,-8.300072265834995
2334034034.0340343,-8.354579467337635
2334434434.4344344,-8.407658188689224
2334834834.834835,-8.458756129688318
2335235235.235235,-8.509854070687352
2335635635.635636,-8.56095201168645
2336036036.036036,-8.612049952685481
2336436436.4364367,-8.66500272382769
2336836836.836837,-8.720475264220857
2337237237.2372375,-8.775947804614084
2337637637.6376376,-8.831420345007249
2338038038.0380383,-8.886892885400476
2338438438.4384384,-8.943412190628944
2338838838.838839,-9.001324742293287
2339239239.239239,-9.059237293957551
2339639639.63964,-9.117149845621894
2340040040.04004,-9.175062397286164
2340440440.4404407,-9.230562942829119
2340840840.840841,-9.282917876702202
2341241241.2412415,-9.335272810575344
2341641641.6416416,-9.387627744448428
2342042042.0420423,-9.439982678321574
2342442442.4424424,-9.494677297258164
2342842842.842843,-9.552361809863685
2343243243.243243,-9.610046322469133
2343643643.643644,-9.667730835074652
2344044044.044044,-9.725415347680098
2344444444.4444447,-9.779094339307425
2344844844.844845,-9.827757408268324
2345245245.2452455,-9.876420477229281
2345645645.6456456,-9.925083546190177
2346046046.0460463,-9.97374661515113
2346446446.4464464,-10.020101851614628
2346846846.846847,-10.063624981828578
2347247247.247247,-10.107148112042486
2347647647.647648,-10.150671242256442
2348048048.048048,-10.194194372470346
2348448448.4484487,-10.241080853878852
2348848848.848849,-10.292012246635796
2349249249.2492495,-10.342943639392802
2349649649.6496496,-10.393875032149747
2350050050.0500503,-10.44480642490675
2350450450.4504504,-10.49371654269179
2350850850.850851,-10.540244286272529
2351251251.251251,-10.58677202985321
2351651651.651652,-10.633299773433947
2352052052.052052,-10.679827517014632
2352452452.4524527,-10.720130072343018
2352852852.852853,-10.753241461931603
2353253253.2532535,-10.78635285152023
2353653653.6536536,-10.819464241108811
2354054054.0540543,-10.852575630697437
2354454454.4544544,-10.889165725419586
2354854854.854855,-10.929694396742889
2355255255.255255,-10.970223068066144
2355655655.655656,-11.010751739389445
2356056056.056056,-11.051280410712698
2356456456.4564567,-11.085499260870959
2356856856.856857,-11.112716073196266
2357257257.2572575,-11.139932885521606
2357657657.6576576,-11.167149697846911
2358058058.0580583,-11.194366510172248
2358458458.4584584,-11.223702853303966
2358858858.858859,-11.255344573367104
2359259259.259259,-11.286986293430212
2359659659.65966,-11.318628013493349
2360060060.06006,-11.350269733556454
2360460460.4604607,-11.37351935518716
