Freq (Hz),Real Part,Imaginary Part
2300000000.0,0.295174,-0.458484
2302000000.0,0.282043,-0.452843
2304000000.0,0.273441,-0.448439
2306000000.0,0.254119,-0.437219
2308000000.0,0.250975,-0.42778
2310000000.0,0.230123,-0.422645
2312000000.0,0.225583,-0.408036
2314000000.0,0.221915,-0.387681
2316000000.0,0.211779,-0.38249
2318000000.0,0.201212,-0.374256
2320000000.0,0.196268,-0.363302
2322000000.0,0.185771,-0.354244
2324000000.0,0.181629,-0.341361
2326000000.0,0.169946,-0.332379
2328000000.0,0.173921,-0.316974
2330000000.0,0.170363,-0.304926
2332000000.0,0.165809,-0.295275
2334000000.0,0.164065,-0.282665
2336000000.0,0.161174,-0.273595
2338000000.0,0.160929,-0.26092
2340000000.0,0.167526,-0.243893
2342000000.0,0.163658,-0.238803
2344000000.0,0.160811,-0.232545
2346000000.0,0.164766,-0.220273
2348000000.0,0.166657,-0.21154
2350000000.0,0.171141,-0.20154
2352000000.0,0.172784,-0.195721
2354000000.0,0.174892,-0.188661
2356000000.0,0.180867,-0.1801
2358000000.0,0.182153,-0.174135
2360000000.0,0.187689,-0.163836
2362000000.0,0.193761,-0.156974
2364000000.0,0.197144,-0.154944
2366000000.0,0.201174,-0.147781
2368000000.0,0.204504,-0.146578
2370000000.0,0.210123,-0.141213
2372000000.0,0.216542,-0.134746
2374000000.0,0.219368,-0.134594
2376000000.0,0.225532,-0.132144
2378000000.0,0.231662,-0.127164
2380000000.0,0.23606,-0.125765
2382000000.0,0.240181,-0.126152
2384000000.0,0.243865,-0.12875
2386000000.0,0.249017,-0.123677
2388000000.0,0.255117,-0.121145
2390000000.0,0.260929,-0.120769
2392000000.0,0.268019,-0.121216
2394000000.0,0.270003,-0.126097
2396000000.0,0.269253,-0.131418
2398000000.0,0.273492,-0.126229
2400000000.0,0.278876,-0.132157
2402000000.0,0.28222,-0.136067
2404000000.0,0.286881,-0.136123
2406000000.0,0.287218,-0.143096
2408000000.0,0.290306,-0.138984
2410000000.0,0.290214,-0.143743
2412000000.0,0.293002,-0.147094
2414000000.0,0.293363,-0.149895
2416000000.0,0.292272,-0.16034
2418000000.0,0.289848,-0.166377
2420000000.0,0.29695,-0.157778
2422000000.0,0.287758,-0.173048
2424000000.0,0.287825,-0.174963
2426000000.0,0.284649,-0.176083
2428000000.0,0.280896,-0.181324
2430000000.0,0.279874,-0.18418
2432000000.0,0.277485,-0.189734
2434000000.0,0.271274,-0.193047
2436000000.0,0.269145,-0.188858
2438000000.0,0.262701,-0.195188
2440000000.0,0.260607,-0.196389
2442000000.0,0.255231,-0.193214
2444000000.0,0.245444,-0.200177
2446000000.0,0.243053,-0.198368
2448000000.0,0.234404,-0.202852
2450000000.0,0.229571,-0.198516
2452000000.0,0.226158,-0.196351
2454000000.0,0.221581,-0.192559
2456000000.0,0.21053,-0.195834
2458000000.0,0.200525,-0.194482
2460000000.0,0.192052,-0.192143
2462000000.0,0.191871,-0.183236
2464000000.0,0.186786,-0.179072
2466000000.0,0.178083,-0.178795
2468000000.0,0.180492,-0.166794
2470000000.0,0.170764,-0.166617
2472000000.0,0.168781,-0.158356
2474000000.0,0.162147,-0.153807
2476000000.0,0.153933,-0.149824
2478000000.0,0.158513,-0.136032
2480000000.0,0.159082,-0.127983
2482000000.0,0.152298,-0.129253
2484000000.0,0.153909,-0.114996
2486000000.0,0.150619,-0.108614
2488000000.0,0.148877,-0.101851
2490000000.0,0.148756,-0.095981
2492000000.0,0.14818,-0.088877
2494000000.0,0.149433,-0.079277
2496000000.0,0.150561,-0.075232
2498000000.0,0.151597,-0.065865
2500000000.0,0.157244,-0.06332
2502000000.0,0.156348,-0.051584
2504000000.0,0.157727,-0.046613
2506000000.0,0.160813,-0.037723
2508000000.0,0.164052,-0.029635
2510000000.0,0.168722,-0.021618
2512000000.0,0.173161,-0.017957
2514000000.0,0.176672,-0.006747
2516000000.0,0.17893,-0.001478
2518000000.0,0.184869,0.003599
2520000000.0,0.18711,0.005334
2522000000.0,0.192264,0.013333
2524000000.0,0.201579,0.023418
2526000000.0,0.205547,0.024336
2528000000.0,0.208921,0.032965
2530000000.0,0.215287,0.0354
2532000000.0,0.220651,0.043466
2534000000.0,0.2268,0.047995
2536000000.0,0.234076,0.042861
2538000000.0,0.241432,0.054111
2540000000.0,0.247881,0.06003
2542000000.0,0.253648,0.061592
2544000000.0,0.261385,0.064661
2546000000.0,0.27154,0.067614
2548000000.0,0.268452,0.074288
2550000000.0,0.283523,0.075615
2552000000.0,0.290757,0.074959
2554000000.0,0.298786,0.08283
2556000000.0,0.308992,0.078126
2558000000.0,0.31062,0.085218
2560000000.0,0.324985,0.083398
2562000000.0,0.332374,0.085494
2564000000.0,0.342701,0.091298
2566000000.0,0.351034,0.088707
2568000000.0,0.359723,0.092716
2570000000.0,0.366941,0.092046
2572000000.0,0.369416,0.100603
2574000000.0,0.388173,0.088534
2576000000.0,0.398323,0.08822
2578000000.0,0.405328,0.094246
2580000000.0,0.41115,0.092655
2582000000.0,0.426231,0.088287
2584000000.0,0.433238,0.074616
2586000000.0,0.446118,0.08605
2588000000.0,0.45233,0.078335
2590000000.0,0.46529,0.074898
2592000000.0,0.473498,0.079957
2594000000.0,0.48015,0.068523
2596000000.0,0.492864,0.06193
2598000000.0,0.501909,0.055973
2600000000.0,0.509591,0.05112
2602000000.0,0.511491,0.044205
2604000000.0,0.528978,0.036519
2606000000.0,0.536872,0.027875
2608000000.0,0.539882,0.019823
2610000000.0,0.546984,0.005591
2612000000.0,0.547526,0.012544
2614000000.0,0.563616,-0.005757
2616000000.0,0.567063,-0.013212
2618000000.0,0.567179,-0.037649
2620000000.0,0.580248,-0.027266
2622000000.0,0.580958,-0.031468
2624000000.0,0.585414,-0.037668
2626000000.0,0.586773,-0.066828
2628000000.0,0.591153,-0.055509
2630000000.0,0.599527,-0.064858
2632000000.0,0.604589,-0.073328
2634000000.0,0.612616,-0.089221
2636000000.0,0.610601,-0.10081
2638000000.0,0.619784,-0.095044
2640000000.0,0.621124,-0.104944
2642000000.0,0.620675,-0.114247
2644000000.0,0.634443,-0.117373
2646000000.0,0.631495,-0.121772
2648000000.0,0.640891,-0.131109
2650000000.0,0.637733,-0.149372
2652000000.0,0.653295,-0.143154
2654000000.0,0.648982,-0.149697
2656000000.0,0.642291,-0.170502
2658000000.0,0.652791,-0.178786
2660000000.0,0.674735,-0.175129
2662000000.0,0.6592,-0.192066
2664000000.0,0.663046,-0.204016
2666000000.0,0.665942,-0.224446
2668000000.0,0.676616,-0.23209
2670000000.0,0.670454,-0.236837
2672000000.0,0.683062,-0.246108
2674000000.0,0.683231,-0.259304
2676000000.0,0.686747,-0.259234
2678000000.0,0.687062,-0.277086
2680000000.0,0.684449,-0.290365
2682000000.0,0.679001,-0.306088
2684000000.0,0.686537,-0.306678
2686000000.0,0.672426,-0.327131
2688000000.0,0.670904,-0.332824
2690000000.0,0.688195,-0.334586
2692000000.0,0.68917,-0.357924
2694000000.0,0.680244,-0.365469
2696000000.0,0.655106,-0.394775
2698000000.0,0.651529,-0.410927
2700000000.0,0.662581,-0.41261
