Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.321888,0.909263
1607000000.0,-0.291602,0.914993
1614000000.0,-0.275903,0.925819
1621000000.0,-0.231583,0.927742
1628000000.0,-0.239199,0.932378
1635000000.0,-0.214017,0.933196
1642000000.0,-0.194459,0.944171
1649000000.0,-0.1763,0.951699
1656000000.0,-0.166888,0.956313
1663000000.0,-0.132892,0.956039
1670000000.0,-0.143437,0.954631
1677000000.0,-0.063653,0.962583
1684000000.0,-0.08797,0.965031
1691000000.0,-0.059766,0.961469
1698000000.0,-0.03614,0.965508
1705000000.0,-0.030197,0.968486
1712000000.0,-0.00166,0.962264
1719000000.0,0.027195,0.960303
1726000000.0,0.025604,0.968695
1733000000.0,0.067794,0.959604
1740000000.0,0.08137,0.973004
1747000000.0,0.084266,0.957946
1754000000.0,0.117505,0.958956
1761000000.0,0.124427,0.940468
1768000000.0,0.16301,0.951705
1775000000.0,0.183744,0.950726
1782000000.0,0.183221,0.943545
1789000000.0,0.245122,0.928876
1796000000.0,0.247012,0.930733
1803000000.0,0.252457,0.933402
1810000000.0,0.286054,0.914574
1817000000.0,0.294998,0.916919
1824000000.0,0.309694,0.898704
1831000000.0,0.343854,0.897504
1838000000.0,0.353563,0.889321
1845000000.0,0.373995,0.872265
1852000000.0,0.398544,0.866907
1859000000.0,0.40572,0.860448
1866000000.0,0.431899,0.851322
1873000000.0,0.448658,0.832516
1880000000.0,0.464898,0.821703
1887000000.0,0.48163,0.799187
1894000000.0,0.489435,0.802764
1901000000.0,0.517811,0.779541
1908000000.0,0.524523,0.778171
1915000000.0,0.529324,0.766203
1922000000.0,0.550417,0.748335
1929000000.0,0.571115,0.741625
1936000000.0,0.574572,0.713844
1943000000.0,0.584672,0.708172
1950000000.0,0.589013,0.699043
1957000000.0,0.61335,0.670268
1964000000.0,0.613927,0.677896
1971000000.0,0.627719,0.670962
1978000000.0,0.642424,0.653805
1985000000.0,0.655722,0.649212
1992000000.0,0.662795,0.633321
1999000000.0,0.680231,0.625566
2006000000.0,0.69145,0.61256
2013000000.0,0.71731,0.588747
2020000000.0,0.709814,0.594454
2027000000.0,0.734933,0.570157
2034000000.0,0.750814,0.555464
2041000000.0,0.764437,0.542246
2048000000.0,0.765212,0.5391
2055000000.0,0.762942,0.551344
2062000000.0,0.787416,0.511719
2069000000.0,0.80877,0.471582
2076000000.0,0.816146,0.461204
2083000000.0,0.820686,0.440655
2090000000.0,0.84258,0.415149
2097000000.0,0.844318,0.393555
2104000000.0,0.868104,0.351546
2111000000.0,0.865184,0.360652
2118000000.0,0.871713,0.367639
2125000000.0,0.887648,0.3303
2132000000.0,0.896528,0.30083
2139000000.0,0.89534,0.294685
2146000000.0,0.909932,0.248618
2153000000.0,0.9151,0.242633
2160000000.0,0.919245,0.185467
2167000000.0,0.915821,0.208709
2174000000.0,0.918869,0.192879
2181000000.0,0.927034,0.150276
2188000000.0,0.929735,0.130546
2195000000.0,0.933196,0.122038
2202000000.0,0.936059,0.091476
2209000000.0,0.933304,0.073777
2216000000.0,0.93617,0.04681
2223000000.0,0.937441,0.027097
2230000000.0,0.937858,0.034352
2237000000.0,0.941723,-0.027998
2244000000.0,0.93458,-0.031466
2251000000.0,0.942135,-0.025585
2258000000.0,0.932877,-0.065348
2265000000.0,0.932308,-0.127026
2272000000.0,0.92986,-0.114762
2279000000.0,0.924896,-0.121527
2286000000.0,0.926757,-0.140902
2293000000.0,0.907692,-0.180342
2300000000.0,0.921835,-0.205163
2307000000.0,0.916921,-0.212271
2314000000.0,0.917839,-0.233407
2321000000.0,0.912957,-0.261131
2328000000.0,0.907875,-0.277724
2335000000.0,0.898625,-0.304811
2342000000.0,0.896191,-0.317952
2349000000.0,0.870404,-0.36894
2356000000.0,0.872648,-0.377196
2363000000.0,0.882188,-0.396787
2370000000.0,0.860684,-0.429978
2377000000.0,0.852588,-0.459059
2384000000.0,0.82679,-0.492605
2391000000.0,0.808528,-0.518335
2398000000.0,0.775274,-0.553491
2405000000.0,0.765936,-0.557058
2412000000.0,0.769705,-0.560884
2419000000.0,0.748358,-0.579872
2426000000.0,0.715977,-0.604038
2433000000.0,0.700101,-0.610929
2440000000.0,0.677789,-0.625364
2447000000.0,0.660247,-0.639596
2454000000.0,0.631209,-0.656319
2461000000.0,0.591556,-0.665836
2468000000.0,0.585072,-0.679757
2475000000.0,0.572546,-0.677392
2482000000.0,0.547334,-0.680845
2489000000.0,0.453535,-0.733332
2496000000.0,0.519218,-0.698275
2503000000.0,0.48734,-0.705906
2510000000.0,0.479902,-0.710805
2517000000.0,0.398574,-0.745821
2524000000.0,0.451803,-0.723033
2531000000.0,0.418283,-0.731922
2538000000.0,0.428356,-0.728213
2545000000.0,0.38936,-0.74749
2552000000.0,0.375746,-0.762147
2559000000.0,0.360867,-0.767226
2566000000.0,0.347422,-0.775941
2573000000.0,0.337607,-0.78506
2580000000.0,0.351023,-0.775769
2587000000.0,0.287853,-0.813696
2594000000.0,0.284344,-0.799138
2601000000.0,0.236081,-0.823735
2608000000.0,0.226406,-0.835882
2615000000.0,0.206757,-0.830201
2622000000.0,0.180522,-0.839192
2629000000.0,0.162441,-0.834728
2636000000.0,0.151901,-0.843063
2643000000.0,0.118548,-0.853449
2650000000.0,0.077552,-0.855432
2657000000.0,0.070731,-0.860537
2664000000.0,0.043967,-0.871575
2671000000.0,-0.002522,-0.884384
2678000000.0,-0.015919,-0.875852
2685000000.0,-0.060478,-0.879779
2692000000.0,-0.044971,-0.882598
2699000000.0,-0.093745,-0.87597
2706000000.0,-0.128646,-0.868538
2713000000.0,-0.159243,-0.856542
2720000000.0,-0.195714,-0.852724
2727000000.0,-0.231155,-0.841472
2734000000.0,-0.247364,-0.830948
2741000000.0,-0.268354,-0.818551
2748000000.0,-0.30933,-0.796341
2755000000.0,-0.338369,-0.787245
2762000000.0,-0.368676,-0.76471
2769000000.0,-0.391626,-0.748691
2776000000.0,-0.424045,-0.726495
2783000000.0,-0.456034,-0.704227
2790000000.0,-0.479996,-0.682109
2797000000.0,-0.489734,-0.659621
2804000000.0,-0.509794,-0.637928
2811000000.0,-0.528291,-0.625664
2818000000.0,-0.549694,-0.594132
2825000000.0,-0.606382,-0.503579
2832000000.0,-0.581526,-0.540086
2839000000.0,-0.596328,-0.508357
2846000000.0,-0.631408,-0.464616
2853000000.0,-0.626595,-0.428241
2860000000.0,-0.624347,-0.415986
2867000000.0,-0.640292,-0.394563
2874000000.0,-0.654303,-0.349235
2881000000.0,-0.665412,-0.3175
2888000000.0,-0.668687,-0.284379
2895000000.0,-0.679397,-0.25057
2902000000.0,-0.679087,-0.219455
2909000000.0,-0.678375,-0.17899
2916000000.0,-0.678245,-0.137145
2923000000.0,-0.67466,-0.106894
2930000000.0,-0.66691,-0.014257
2937000000.0,-0.658439,-0.030796
2944000000.0,-0.648831,0.025386
2951000000.0,-0.636962,0.035585
2958000000.0,-0.622439,0.07506
2965000000.0,-0.5985,0.111737
2972000000.0,-0.574892,0.166142
2979000000.0,-0.553044,0.193546
2986000000.0,-0.521987,0.237569
2993000000.0,-0.489591,0.261024
3000000000.0,-0.442197,0.302085
