Freq (Hz),Real Part,Imaginary Part
1600000000.0,-0.265491,0.918222
1607000000.0,-0.258819,0.914716
1614000000.0,-0.248328,0.912294
1621000000.0,-0.204646,0.923029
1628000000.0,-0.184732,0.931128
1635000000.0,-0.176195,0.929506
1642000000.0,-0.141995,0.940744
1649000000.0,-0.145066,0.94236
1656000000.0,-0.016929,0.954423
1663000000.0,-0.08124,0.944032
1670000000.0,-0.077564,0.945213
1677000000.0,-0.025923,0.944486
1684000000.0,-0.01976,0.955316
1691000000.0,-0.001163,0.947452
1698000000.0,0.022558,0.953182
1705000000.0,0.033927,0.949544
1712000000.0,0.066627,0.945768
1719000000.0,0.098273,0.937176
1726000000.0,0.101008,0.946766
1733000000.0,0.134873,0.932432
1740000000.0,0.16448,0.939423
1747000000.0,0.173895,0.919324
1754000000.0,0.196998,0.923823
1761000000.0,0.208887,0.906857
1768000000.0,0.251228,0.907481
1775000000.0,0.280262,0.898719
1782000000.0,0.285122,0.896867
1789000000.0,0.331011,0.873627
1796000000.0,0.340584,0.870073
1803000000.0,0.354806,0.871156
1810000000.0,0.35339,0.864831
1817000000.0,0.399547,0.848527
1824000000.0,0.428104,0.812638
1831000000.0,0.448909,0.808819
1838000000.0,0.496088,0.773364
1845000000.0,0.491366,0.771009
1852000000.0,0.510016,0.756285
1859000000.0,0.526161,0.74154
1866000000.0,0.552303,0.720682
1873000000.0,0.559394,0.698227
1880000000.0,0.587836,0.669721
1887000000.0,0.607957,0.639897
1894000000.0,0.613245,0.622622
1901000000.0,0.629922,0.593965
1908000000.0,0.643637,0.567923
1915000000.0,0.649596,0.537162
1922000000.0,0.657811,0.506852
1929000000.0,0.664892,0.478461
1936000000.0,0.661078,0.443392
1943000000.0,0.660034,0.399122
1950000000.0,0.656163,0.366437
1957000000.0,0.638633,0.327857
1964000000.0,0.621881,0.310157
1971000000.0,0.597609,0.284236
1978000000.0,0.578808,0.256304
1985000000.0,0.549753,0.246242
1992000000.0,0.517622,0.250626
1999000000.0,0.497311,0.238704
