Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.731829,0.520525
2005000000.0,0.749871,0.500257
2010000000.0,0.758261,0.479807
2015000000.0,0.750806,0.497195
2020000000.0,0.769328,0.46957
2025000000.0,0.786337,0.448984
2030000000.0,0.78493,0.437553
2035000000.0,0.790218,0.416144
2040000000.0,0.789659,0.405248
2045000000.0,0.797115,0.397356
2050000000.0,0.804315,0.388997
2055000000.0,0.808223,0.366681
2060000000.0,0.815588,0.333343
2065000000.0,0.817676,0.317382
2070000000.0,0.823715,0.309909
2075000000.0,0.825334,0.283942
2080000000.0,0.83143,0.261272
2085000000.0,0.835374,0.234855
2090000000.0,0.832561,0.226968
2095000000.0,0.827243,0.217282
2100000000.0,0.833231,0.186235
2105000000.0,0.833242,0.174696
2110000000.0,0.833037,0.167745
2115000000.0,0.833896,0.14296
2120000000.0,0.830668,0.133116
2125000000.0,0.832946,0.123917
2130000000.0,0.820605,0.094822
2135000000.0,0.824204,0.068901
2140000000.0,0.817566,0.052324
2145000000.0,0.815012,0.039863
2150000000.0,0.8067,0.017406
2155000000.0,0.806504,0.018477
2160000000.0,0.800452,-0.013641
2165000000.0,0.791276,-0.016873
2170000000.0,0.780722,-0.060157
2175000000.0,0.780572,-0.067234
2180000000.0,0.771464,-0.091224
2185000000.0,0.757785,-0.127087
2190000000.0,0.749051,-0.135939
2195000000.0,0.728653,-0.161901
2200000000.0,0.718759,-0.173584
2205000000.0,0.702503,-0.195833
2210000000.0,0.690986,-0.212064
2215000000.0,0.677341,-0.205308
2220000000.0,0.647519,-0.242404
2225000000.0,0.631958,-0.250867
2230000000.0,0.604336,-0.263224
2235000000.0,0.582849,-0.27016
2240000000.0,0.569827,-0.279523
2245000000.0,0.539424,-0.293375
2250000000.0,0.515192,-0.292848
2255000000.0,0.497121,-0.301033
2260000000.0,0.486249,-0.290189
2265000000.0,0.442519,-0.291372
2270000000.0,0.424724,-0.282335
2275000000.0,0.401071,-0.273317
2280000000.0,0.38403,-0.268908
2285000000.0,0.361385,-0.255339
2290000000.0,0.351508,-0.244841
2295000000.0,0.338693,-0.226253
2300000000.0,0.331501,-0.210792
2305000000.0,0.321164,-0.199334
2310000000.0,0.314659,-0.188241
2315000000.0,0.314297,-0.172311
2320000000.0,0.307182,-0.162718
2325000000.0,0.30453,-0.148853
2330000000.0,0.306848,-0.135397
2335000000.0,0.302494,-0.128584
2340000000.0,0.308176,-0.115459
2345000000.0,0.310794,-0.105896
2350000000.0,0.312964,-0.098948
2355000000.0,0.317453,-0.092987
2360000000.0,0.32272,-0.082263
2365000000.0,0.327338,-0.076756
2370000000.0,0.331781,-0.076043
2375000000.0,0.340566,-0.063823
2380000000.0,0.346914,-0.061164
2385000000.0,0.356641,-0.053574
2390000000.0,0.365415,-0.050292
2395000000.0,0.382588,-0.053592
2400000000.0,0.390272,-0.058452
2405000000.0,0.403775,-0.06611
2410000000.0,0.415899,-0.070594
2415000000.0,0.42638,-0.081207
2420000000.0,0.434706,-0.08366
2425000000.0,0.440642,-0.118982
2430000000.0,0.447963,-0.127983
2435000000.0,0.443316,-0.149421
2440000000.0,0.449598,-0.161635
2445000000.0,0.441554,-0.180803
2450000000.0,0.435415,-0.196226
2455000000.0,0.415933,-0.219963
2460000000.0,0.398091,-0.23519
2465000000.0,0.379431,-0.250446
2470000000.0,0.362666,-0.257775
2475000000.0,0.34004,-0.266573
2480000000.0,0.310402,-0.263274
2485000000.0,0.298234,-0.256127
2490000000.0,0.272445,-0.248003
2495000000.0,0.249525,-0.242397
2500000000.0,0.228786,-0.231041
2505000000.0,0.215894,-0.212058
2510000000.0,0.20377,-0.197657
2515000000.0,0.196742,-0.17734
2520000000.0,0.186499,-0.156762
2525000000.0,0.178966,-0.132362
2530000000.0,0.17858,-0.112718
2535000000.0,0.182533,-0.085225
2540000000.0,0.18933,-0.064524
2545000000.0,0.194941,-0.045307
2550000000.0,0.208207,-0.028234
2555000000.0,0.220985,-0.009412
2560000000.0,0.233586,0.011123
2565000000.0,0.254313,0.029074
2570000000.0,0.274088,0.029552
2575000000.0,0.297033,0.050418
2580000000.0,0.317179,0.058176
2585000000.0,0.344531,0.061638
2590000000.0,0.370518,0.063538
2595000000.0,0.397034,0.064449
2600000000.0,0.426359,0.063672
2605000000.0,0.460833,0.058692
2610000000.0,0.477466,0.036553
2615000000.0,0.504545,0.023422
2620000000.0,0.525309,0.007935
2625000000.0,0.549161,-0.014759
2630000000.0,0.558118,-0.049105
2635000000.0,0.58296,-0.068193
2640000000.0,0.589242,-0.089029
2645000000.0,0.597303,-0.12241
2650000000.0,0.606214,-0.150157
2655000000.0,0.598107,-0.175827
2660000000.0,0.601361,-0.197015
2665000000.0,0.593402,-0.234002
2670000000.0,0.588468,-0.252202
2675000000.0,0.583066,-0.257854
2680000000.0,0.574723,-0.274217
2685000000.0,0.564204,-0.311223
2690000000.0,0.557188,-0.315287
2695000000.0,0.540036,-0.333495
2700000000.0,0.533418,-0.345535
2705000000.0,0.520565,-0.355887
2710000000.0,0.497422,-0.378979
2715000000.0,0.496631,-0.370822
2720000000.0,0.484514,-0.386641
2725000000.0,0.467964,-0.403538
2730000000.0,0.46412,-0.407702
2735000000.0,0.460178,-0.414173
2740000000.0,0.45089,-0.419903
2745000000.0,0.429188,-0.428837
2750000000.0,0.431732,-0.425294
2755000000.0,0.416666,-0.440007
2760000000.0,0.40503,-0.438991
2765000000.0,0.39417,-0.449236
2770000000.0,0.385571,-0.451023
2775000000.0,0.378812,-0.446045
2780000000.0,0.36767,-0.451306
2785000000.0,0.36462,-0.445574
