Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.672446,0.646291
2005000000.0,0.672182,0.653744
2010000000.0,0.696381,0.625776
2015000000.0,0.67815,0.648666
2020000000.0,0.704591,0.624229
2025000000.0,0.717766,0.617411
2030000000.0,0.717263,0.611524
2035000000.0,0.737017,0.599316
2040000000.0,0.74697,0.578758
2045000000.0,0.756141,0.57711
2050000000.0,0.761864,0.584755
2055000000.0,0.767517,0.5606
2060000000.0,0.786949,0.536958
2065000000.0,0.794713,0.536661
2070000000.0,0.80785,0.520126
2075000000.0,0.808287,0.515805
2080000000.0,0.83059,0.480796
2085000000.0,0.843536,0.46768
2090000000.0,0.839406,0.47291
2095000000.0,0.847643,0.456637
2100000000.0,0.86311,0.419598
2105000000.0,0.859695,0.418223
2110000000.0,0.869858,0.40728
2115000000.0,0.87851,0.394766
2120000000.0,0.880557,0.373428
2125000000.0,0.888168,0.362903
2130000000.0,0.883999,0.353411
2135000000.0,0.899972,0.324578
2140000000.0,0.906908,0.308419
2145000000.0,0.898623,0.313368
2150000000.0,0.899058,0.305403
2155000000.0,0.905285,0.292017
2160000000.0,0.914539,0.261392
2165000000.0,0.910501,0.262974
2170000000.0,0.916842,0.25318
2175000000.0,0.922144,0.225077
2180000000.0,0.930921,0.210441
2185000000.0,0.930851,0.204322
2190000000.0,0.936224,0.2049
2195000000.0,0.93842,0.185135
2200000000.0,0.930836,0.16001
2205000000.0,0.938878,0.142487
2210000000.0,0.942878,0.128347
2215000000.0,0.939991,0.14066
2220000000.0,0.947461,0.088723
2225000000.0,0.948552,0.101747
2230000000.0,0.946944,0.077943
2235000000.0,0.945898,0.086629
2240000000.0,0.950921,0.04194
2245000000.0,0.955672,0.017341
2250000000.0,0.953769,0.03068
2255000000.0,0.965615,0.02927
2260000000.0,0.956392,-0.025071
2265000000.0,0.957224,-0.032985
2270000000.0,0.948763,-0.048802
2275000000.0,0.939774,-0.070073
2280000000.0,0.950312,-0.101654
2285000000.0,0.947184,-0.088615
2290000000.0,0.957329,-0.104679
2295000000.0,0.949462,-0.114777
2300000000.0,0.952715,-0.151828
2305000000.0,0.949175,-0.154041
2310000000.0,0.944225,-0.16231
2315000000.0,0.945966,-0.193065
2320000000.0,0.940067,-0.222234
2325000000.0,0.937038,-0.226959
2330000000.0,0.937209,-0.249431
2335000000.0,0.925839,-0.262102
2340000000.0,0.934337,-0.279636
2345000000.0,0.910159,-0.302282
2350000000.0,0.914663,-0.322672
2355000000.0,0.917653,-0.314453
2360000000.0,0.900797,-0.354173
2365000000.0,0.897245,-0.359584
2370000000.0,0.881841,-0.386716
2375000000.0,0.880694,-0.375486
2380000000.0,0.853706,-0.432264
2385000000.0,0.856735,-0.414921
2390000000.0,0.844582,-0.427963
2395000000.0,0.834508,-0.449713
