Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.739637,0.499923
2005000000.0,0.751537,0.481759
2010000000.0,0.771112,0.456503
2015000000.0,0.759476,0.474322
2020000000.0,0.77199,0.43735
2025000000.0,0.780122,0.40846
2030000000.0,0.781644,0.406668
2035000000.0,0.794506,0.393083
2040000000.0,0.7987,0.348025
2045000000.0,0.79387,0.366546
2050000000.0,0.801069,0.343202
2055000000.0,0.802676,0.326568
2060000000.0,0.807959,0.306483
2065000000.0,0.805064,0.291137
2070000000.0,0.812799,0.270472
2075000000.0,0.817685,0.235328
2080000000.0,0.812848,0.219368
2085000000.0,0.817436,0.195652
2090000000.0,0.814679,0.183394
2095000000.0,0.814495,0.164092
2100000000.0,0.808865,0.14134
2105000000.0,0.804787,0.134829
2110000000.0,0.800244,0.09978
2115000000.0,0.805472,0.104754
2120000000.0,0.79763,0.074846
2125000000.0,0.79267,0.064439
2130000000.0,0.783562,0.044337
2135000000.0,0.779245,0.01971
2140000000.0,0.77215,0.003698
2145000000.0,0.768229,-0.013106
2150000000.0,0.758776,-0.026539
2155000000.0,0.749809,-0.03653
2160000000.0,0.738459,-0.058932
2165000000.0,0.728604,-0.073188
2170000000.0,0.717024,-0.087846
2175000000.0,0.703723,-0.103865
2180000000.0,0.692836,-0.115519
2185000000.0,0.679806,-0.131911
2190000000.0,0.665433,-0.153153
2195000000.0,0.640499,-0.178436
2200000000.0,0.625806,-0.175069
2205000000.0,0.608173,-0.191526
2210000000.0,0.589253,-0.198578
2215000000.0,0.576146,-0.20051
2220000000.0,0.546851,-0.215013
2225000000.0,0.531579,-0.212623
2230000000.0,0.50742,-0.212348
2235000000.0,0.489492,-0.203114
2240000000.0,0.470752,-0.207711
2245000000.0,0.458407,-0.197344
2250000000.0,0.431837,-0.198434
2255000000.0,0.419571,-0.191542
2260000000.0,0.411787,-0.188644
2265000000.0,0.394998,-0.172033
2270000000.0,0.380441,-0.167153
2275000000.0,0.371243,-0.150393
2280000000.0,0.371151,-0.143075
2285000000.0,0.365924,-0.127509
