Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.66911,0.65083
2005000000.0,0.677716,0.637203
2010000000.0,0.692715,0.626569
2015000000.0,0.682544,0.64719
2020000000.0,0.703932,0.620853
2025000000.0,0.732453,0.601077
2030000000.0,0.728771,0.599741
2035000000.0,0.742427,0.598113
2040000000.0,0.744426,0.587628
2045000000.0,0.755456,0.576304
2050000000.0,0.767559,0.569679
2055000000.0,0.771567,0.560562
2060000000.0,0.789442,0.54103
2065000000.0,0.798739,0.526496
2070000000.0,0.809124,0.515758
2075000000.0,0.804381,0.523031
2080000000.0,0.82526,0.49121
2085000000.0,0.859257,0.4271
2090000000.0,0.83982,0.457367
2095000000.0,0.848554,0.44992
2100000000.0,0.860959,0.426722
2105000000.0,0.864059,0.416921
2110000000.0,0.871903,0.390188
2115000000.0,0.871898,0.405575
2120000000.0,0.880632,0.375357
2125000000.0,0.888696,0.35718
2130000000.0,0.890045,0.346441
2135000000.0,0.892394,0.334245
2140000000.0,0.902661,0.307465
2145000000.0,0.903685,0.299049
2150000000.0,0.904545,0.295501
2155000000.0,0.905316,0.288523
2160000000.0,0.915842,0.273324
2165000000.0,0.911942,0.253216
2170000000.0,0.922852,0.239936
2175000000.0,0.925365,0.227716
2180000000.0,0.924799,0.220367
2185000000.0,0.929989,0.205048
2190000000.0,0.941813,0.187519
2195000000.0,0.937564,0.167844
2200000000.0,0.93069,0.167666
2205000000.0,0.941468,0.127399
2210000000.0,0.94214,0.130831
2215000000.0,0.940476,0.130265
2220000000.0,0.948161,0.093594
2225000000.0,0.948655,0.07344
2230000000.0,0.946806,0.061731
2235000000.0,0.943666,0.058571
2240000000.0,0.954014,0.07719
2245000000.0,0.97558,0.02191
2250000000.0,0.951632,0.013789
2255000000.0,0.959126,-0.004041
2260000000.0,0.977393,-0.017844
2265000000.0,0.947375,-0.042867
2270000000.0,0.95449,-0.050857
2275000000.0,0.953185,-0.067108
2280000000.0,0.950469,-0.081159
2285000000.0,0.953675,-0.087348
2290000000.0,0.960982,-0.107416
2295000000.0,0.943722,-0.130937
2300000000.0,0.941885,-0.141177
2305000000.0,0.946066,-0.167546
2310000000.0,0.942889,-0.172135
2315000000.0,0.944655,-0.189932
2320000000.0,0.944514,-0.218822
2325000000.0,0.93299,-0.240522
2330000000.0,0.931499,-0.242447
2335000000.0,0.921807,-0.258105
2340000000.0,0.926009,-0.290074
2345000000.0,0.915148,-0.298415
2350000000.0,0.908574,-0.322724
2355000000.0,0.915463,-0.326627
2360000000.0,0.895942,-0.365149
2365000000.0,0.890288,-0.368958
2370000000.0,0.883525,-0.390798
2375000000.0,0.893619,-0.361615
2380000000.0,0.862858,-0.416841
2385000000.0,0.852421,-0.430881
2390000000.0,0.830237,-0.435589
2395000000.0,0.839357,-0.440882
2400000000.0,0.807635,-0.479271
2405000000.0,0.796038,-0.496079
2410000000.0,0.773944,-0.509649
2415000000.0,0.784901,-0.488635
2420000000.0,0.772548,-0.499221
2425000000.0,0.746905,-0.542194
2430000000.0,0.745476,-0.544207
2435000000.0,0.733582,-0.528908
2440000000.0,0.734052,-0.540049
2445000000.0,0.711233,-0.565589
2450000000.0,0.711327,-0.555649
2455000000.0,0.695039,-0.56884
2460000000.0,0.693774,-0.572163
2465000000.0,0.677663,-0.610648
2470000000.0,0.678178,-0.616419
2475000000.0,0.661092,-0.616738
2480000000.0,0.641472,-0.631013
2485000000.0,0.655571,-0.643859
2490000000.0,0.63041,-0.654615
2495000000.0,0.620567,-0.670021
2500000000.0,0.600849,-0.677218
2505000000.0,0.6029,-0.687734
2510000000.0,0.598841,-0.690017
2515000000.0,0.600085,-0.701628
2520000000.0,0.558315,-0.742152
2525000000.0,0.569757,-0.732718
2530000000.0,0.538653,-0.75964
2535000000.0,0.536777,-0.755446
2540000000.0,0.51311,-0.764883
2545000000.0,0.510457,-0.76602
2550000000.0,0.496891,-0.787326
2555000000.0,0.463492,-0.798751
2560000000.0,0.459442,-0.791424
2565000000.0,0.438273,-0.813782
2570000000.0,0.400834,-0.82558
2575000000.0,0.397573,-0.824521
