Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.66263,0.651564
2005000000.0,0.684067,0.63561
2010000000.0,0.696921,0.626485
2015000000.0,0.666454,0.664734
2020000000.0,0.700902,0.635904
2025000000.0,0.734996,0.594681
2030000000.0,0.711657,0.628362
2035000000.0,0.746297,0.58813
2040000000.0,0.731944,0.6008
2045000000.0,0.760742,0.570826
2050000000.0,0.754101,0.595948
2055000000.0,0.781063,0.550949
2060000000.0,0.777565,0.55761
2065000000.0,0.800041,0.524591
2070000000.0,0.799968,0.537269
2075000000.0,0.816733,0.490088
2080000000.0,0.826023,0.490995
2085000000.0,0.840564,0.475158
2090000000.0,0.839664,0.470559
2095000000.0,0.846952,0.456061
2100000000.0,0.859821,0.422205
2105000000.0,0.863758,0.410369
2110000000.0,0.866033,0.40255
2115000000.0,0.874956,0.404361
2120000000.0,0.881695,0.382187
2125000000.0,0.889132,0.364044
2130000000.0,0.882035,0.38117
2135000000.0,0.896923,0.331905
2140000000.0,0.90521,0.30455
2145000000.0,0.904553,0.302797
2150000000.0,0.907223,0.291255
2155000000.0,0.908127,0.294176
2160000000.0,0.915004,0.271357
2165000000.0,0.915556,0.256775
2170000000.0,0.918514,0.255956
2175000000.0,0.916312,0.231949
2180000000.0,0.927455,0.215225
2185000000.0,0.932834,0.19576
2190000000.0,0.932588,0.198347
2195000000.0,0.937197,0.167775
2200000000.0,0.930423,0.163314
2205000000.0,0.938142,0.121574
2210000000.0,0.943121,0.119367
2215000000.0,0.943898,0.163175
2220000000.0,0.951754,0.094534
2225000000.0,0.948407,0.084863
2230000000.0,0.946558,0.061786
2235000000.0,0.944736,0.06722
2240000000.0,0.950712,0.055034
2245000000.0,0.961475,0.016913
2250000000.0,0.952653,0.006068
2255000000.0,0.962815,0.001218
2260000000.0,0.977791,-0.034702
2265000000.0,0.949155,-0.031414
2270000000.0,0.950247,-0.040175
2275000000.0,0.952336,-0.065287
2280000000.0,0.954073,-0.082602
2285000000.0,0.948804,-0.105031
2290000000.0,0.954045,-0.103169
2295000000.0,0.947947,-0.116653
2300000000.0,0.940591,-0.142245
2305000000.0,0.945885,-0.156283
2310000000.0,0.948861,-0.174244
2315000000.0,0.947179,-0.186588
2320000000.0,0.941981,-0.220709
2325000000.0,0.938775,-0.238159
2330000000.0,0.932254,-0.248832
2335000000.0,0.932869,-0.261485
2340000000.0,0.928997,-0.278264
2345000000.0,0.917234,-0.298294
2350000000.0,0.914336,-0.319457
2355000000.0,0.919597,-0.317253
2360000000.0,0.895956,-0.349198
2365000000.0,0.891146,-0.36746
2370000000.0,0.880374,-0.396622
2375000000.0,0.887543,-0.376883
2380000000.0,0.860515,-0.420797
2385000000.0,0.861152,-0.419527
2390000000.0,0.843884,-0.42764
2395000000.0,0.838068,-0.441767
2400000000.0,0.807909,-0.478251
2405000000.0,0.800592,-0.486159
2410000000.0,0.790604,-0.49624
2415000000.0,0.782999,-0.499849
2420000000.0,0.782197,-0.494396
2425000000.0,0.74777,-0.538318
2430000000.0,0.74859,-0.53474
2435000000.0,0.730531,-0.540006
2440000000.0,0.72533,-0.541995
2445000000.0,0.713807,-0.566546
2450000000.0,0.710664,-0.555387
2455000000.0,0.691121,-0.574539
2460000000.0,0.689166,-0.575524
2465000000.0,0.677525,-0.601894
2470000000.0,0.677543,-0.616085
2475000000.0,0.662241,-0.623441
2480000000.0,0.64405,-0.631411
2485000000.0,0.645192,-0.641265
2490000000.0,0.642607,-0.637576
2495000000.0,0.626397,-0.664733
2500000000.0,0.624674,-0.680508
2505000000.0,0.622451,-0.666169
2510000000.0,0.594851,-0.702116
2515000000.0,0.592755,-0.694235
2520000000.0,0.57835,-0.729467
2525000000.0,0.56144,-0.735322
2530000000.0,0.524078,-0.75301
2535000000.0,0.536349,-0.746095
2540000000.0,0.52094,-0.75825
2545000000.0,0.501124,-0.774251
2550000000.0,0.495004,-0.782462
2555000000.0,0.481771,-0.79333
2560000000.0,0.461412,-0.793389
2565000000.0,0.441303,-0.807277
2570000000.0,0.401832,-0.828505
2575000000.0,0.407001,-0.82814
2580000000.0,0.401724,-0.823382
2585000000.0,0.365338,-0.842638
2590000000.0,0.353046,-0.841195
2595000000.0,0.341061,-0.848695
2600000000.0,0.325816,-0.848218
2605000000.0,0.318615,-0.868843
2610000000.0,0.285415,-0.861043
2615000000.0,0.253174,-0.876524
2620000000.0,0.266488,-0.876716
2625000000.0,0.241356,-0.880406
