Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.735373,0.513954
2005000000.0,0.742622,0.498351
2010000000.0,0.761995,0.477045
2015000000.0,0.755031,0.48367
2020000000.0,0.77012,0.447077
2025000000.0,0.781662,0.427555
2030000000.0,0.780082,0.422166
2035000000.0,0.790225,0.402405
2040000000.0,0.796941,0.378528
2045000000.0,0.796681,0.370366
2050000000.0,0.806567,0.356908
2055000000.0,0.808404,0.335587
2060000000.0,0.815603,0.310374
2065000000.0,0.809597,0.309806
2070000000.0,0.821527,0.27825
2075000000.0,0.819964,0.257708
2080000000.0,0.822869,0.248823
2085000000.0,0.830292,0.221268
2090000000.0,0.826518,0.21112
2095000000.0,0.822331,0.186553
2100000000.0,0.823511,0.168006
2105000000.0,0.820823,0.141281
2110000000.0,0.816656,0.127367
2115000000.0,0.819151,0.121509
2120000000.0,0.811814,0.100583
2125000000.0,0.818957,0.09201
2130000000.0,0.808005,0.063821
2135000000.0,0.809235,0.042866
2140000000.0,0.80015,0.027657
2145000000.0,0.796999,0.036098
2150000000.0,0.790373,-0.005598
2155000000.0,0.782882,-0.01539
2160000000.0,0.778935,-0.035571
2165000000.0,0.767886,-0.05018
2170000000.0,0.765676,-0.060631
2175000000.0,0.748589,-0.09271
2180000000.0,0.747341,-0.111334
2185000000.0,0.737676,-0.10836
2190000000.0,0.724331,-0.142342
2195000000.0,0.709967,-0.15984
2200000000.0,0.696833,-0.164712
2205000000.0,0.677935,-0.191306
2210000000.0,0.662092,-0.205032
2215000000.0,0.645593,-0.213189
2220000000.0,0.625331,-0.232019
2225000000.0,0.601418,-0.248721
2230000000.0,0.580872,-0.249903
2235000000.0,0.564036,-0.246821
2240000000.0,0.543756,-0.253927
2245000000.0,0.519535,-0.262809
2250000000.0,0.504925,-0.253485
2255000000.0,0.481986,-0.267891
2260000000.0,0.458005,-0.269034
2265000000.0,0.436975,-0.250367
2270000000.0,0.417343,-0.24751
2275000000.0,0.397398,-0.238011
2280000000.0,0.38525,-0.233843
2285000000.0,0.372355,-0.215689
2290000000.0,0.369086,-0.205521
2295000000.0,0.352794,-0.192518
2300000000.0,0.34233,-0.180485
2305000000.0,0.336237,-0.168395
2310000000.0,0.332667,-0.156509
2315000000.0,0.334684,-0.146933
2320000000.0,0.332093,-0.133479
2325000000.0,0.328938,-0.122864
2330000000.0,0.332025,-0.10969
2335000000.0,0.330392,-0.106371
2340000000.0,0.341451,-0.091835
2345000000.0,0.344301,-0.082864
