Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.686306,0.623926
2005000000.0,0.693731,0.62233
2010000000.0,0.712534,0.600905
2015000000.0,0.72569,0.583609
2020000000.0,0.724261,0.594497
2025000000.0,0.722953,0.582964
2030000000.0,0.751223,0.558391
2035000000.0,0.762298,0.548784
2040000000.0,0.767878,0.536305
2045000000.0,0.77053,0.535983
2050000000.0,0.765452,0.54968
2055000000.0,0.797782,0.507711
2060000000.0,0.792976,0.508676
2065000000.0,0.79908,0.508353
2070000000.0,0.803651,0.507251
2075000000.0,0.817444,0.471246
2080000000.0,0.824038,0.469428
2085000000.0,0.839207,0.429185
2090000000.0,0.842414,0.435673
2095000000.0,0.860306,0.40284
2100000000.0,0.852607,0.414403
2105000000.0,0.859392,0.382519
2110000000.0,0.869336,0.378004
2115000000.0,0.879032,0.345858
2120000000.0,0.882888,0.355792
2125000000.0,0.895813,0.327456
2130000000.0,0.889296,0.338337
2135000000.0,0.908555,0.259513
2140000000.0,0.902647,0.288197
2145000000.0,0.894236,0.276361
2150000000.0,0.914356,0.242175
2155000000.0,0.916301,0.230719
2160000000.0,0.918159,0.227097
2165000000.0,0.915356,0.222625
2170000000.0,0.923616,0.187273
2175000000.0,0.925337,0.181643
2180000000.0,0.930136,0.161955
2185000000.0,0.935708,0.139475
2190000000.0,0.9372,0.111378
2195000000.0,0.937858,0.127943
2200000000.0,0.941361,0.093085
2205000000.0,0.933126,0.084502
2210000000.0,0.939008,0.098431
2215000000.0,0.930846,0.054679
2220000000.0,0.942182,0.056118
2225000000.0,0.937273,0.033941
2230000000.0,0.934659,0.006244
2235000000.0,0.930628,0.005108
2240000000.0,0.937564,-0.017217
2245000000.0,0.921338,-0.038434
2250000000.0,0.933052,-0.041769
2255000000.0,0.924032,-0.065135
2260000000.0,0.936634,-0.098585
2265000000.0,0.922967,-0.078615
2270000000.0,0.918101,-0.121534
2275000000.0,0.926041,-0.101548
2280000000.0,0.926083,-0.127271
2285000000.0,0.920819,-0.154265
2290000000.0,0.912365,-0.163993
2295000000.0,0.919278,-0.185564
2300000000.0,0.924992,-0.17907
2305000000.0,0.903741,-0.193928
2310000000.0,0.911676,-0.221566
2315000000.0,0.916264,-0.2418
2320000000.0,0.899746,-0.244685
2325000000.0,0.904002,-0.271086
2330000000.0,0.892091,-0.29586
2335000000.0,0.901069,-0.313109
2340000000.0,0.885933,-0.311777
2345000000.0,0.892505,-0.314616
2350000000.0,0.87538,-0.36496
2355000000.0,0.850974,-0.417752
2360000000.0,0.878588,-0.381341
2365000000.0,0.853421,-0.429255
2370000000.0,0.850328,-0.434217
2375000000.0,0.856227,-0.441265
2380000000.0,0.848229,-0.433945
2385000000.0,0.827479,-0.462182
2390000000.0,0.817704,-0.512161
2395000000.0,0.81465,-0.499477
2400000000.0,0.795075,-0.518979
2405000000.0,0.764507,-0.562279
2410000000.0,0.727043,-0.596166
2415000000.0,0.735559,-0.587095
2420000000.0,0.755071,-0.568845
2425000000.0,0.705743,-0.601022
2430000000.0,0.683008,-0.622722
2435000000.0,0.689515,-0.60982
2440000000.0,0.678924,-0.620508
2445000000.0,0.654314,-0.643915
2450000000.0,0.634491,-0.652263
2455000000.0,0.610166,-0.670213
2460000000.0,0.619762,-0.646813
2465000000.0,0.59045,-0.667798
2470000000.0,0.568037,-0.677491
2475000000.0,0.557893,-0.678442
2480000000.0,0.562578,-0.672938
2485000000.0,0.527485,-0.685868
2490000000.0,0.511313,-0.693806
2495000000.0,0.496089,-0.701332
2500000000.0,0.496838,-0.692254
2505000000.0,0.478874,-0.705486
2510000000.0,0.478022,-0.705914
2515000000.0,0.464781,-0.703967
2520000000.0,0.439656,-0.720816
2525000000.0,0.443316,-0.734972
2530000000.0,0.424392,-0.721305
2535000000.0,0.414625,-0.723442
2540000000.0,0.4325,-0.738108
2545000000.0,0.395016,-0.740866
2550000000.0,0.397313,-0.755801
2555000000.0,0.375104,-0.755054
2560000000.0,0.351253,-0.766349
2565000000.0,0.359236,-0.770698
