Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.752105,0.464453
2005000000.0,0.742844,0.451111
2010000000.0,0.758701,0.437
2015000000.0,0.765324,0.418273
2020000000.0,0.772136,0.407983
2025000000.0,0.767822,0.403013
2030000000.0,0.778931,0.373906
2035000000.0,0.789349,0.343854
2040000000.0,0.796959,0.327053
2045000000.0,0.789383,0.322516
2050000000.0,0.797373,0.305211
2055000000.0,0.800389,0.28441
2060000000.0,0.798711,0.276057
2065000000.0,0.808599,0.250436
2070000000.0,0.814458,0.220374
2075000000.0,0.802002,0.226053
2080000000.0,0.810082,0.210931
2085000000.0,0.807735,0.17072
2090000000.0,0.810988,0.171067
2095000000.0,0.807115,0.150654
2100000000.0,0.802426,0.128701
2105000000.0,0.804799,0.109233
2110000000.0,0.802295,0.086358
2115000000.0,0.798077,0.091312
2120000000.0,0.795904,0.049277
2125000000.0,0.797979,0.024808
2130000000.0,0.788571,0.03018
2135000000.0,0.779946,-0.019962
2140000000.0,0.77084,-0.019959
2145000000.0,0.76233,-0.036343
2150000000.0,0.753979,-0.061229
2155000000.0,0.744685,-0.078989
2160000000.0,0.732557,-0.090804
2165000000.0,0.722494,-0.108921
2170000000.0,0.707692,-0.131615
2175000000.0,0.689498,-0.143214
2180000000.0,0.681754,-0.159933
2185000000.0,0.657053,-0.179657
2190000000.0,0.641709,-0.201359
2195000000.0,0.625224,-0.196645
2200000000.0,0.600981,-0.213575
2205000000.0,0.582334,-0.228335
2210000000.0,0.558701,-0.222829
2215000000.0,0.542012,-0.234763
2220000000.0,0.517677,-0.245221
2225000000.0,0.4945,-0.240369
2230000000.0,0.477485,-0.233517
2235000000.0,0.456744,-0.218309
2240000000.0,0.442317,-0.227339
2245000000.0,0.419838,-0.209983
2250000000.0,0.412638,-0.20401
2255000000.0,0.396169,-0.195759
2260000000.0,0.382072,-0.19809
2265000000.0,0.376434,-0.174376
2270000000.0,0.361712,-0.171108
2275000000.0,0.363346,-0.150373
2280000000.0,0.356129,-0.143384
2285000000.0,0.349717,-0.13094
2290000000.0,0.349349,-0.118393
2295000000.0,0.347387,-0.112084
2300000000.0,0.354177,-0.098941
2305000000.0,0.348585,-0.08946
2310000000.0,0.357821,-0.081781
2315000000.0,0.366245,-0.076926
2320000000.0,0.369206,-0.06862
2325000000.0,0.374932,-0.068717
2330000000.0,0.381625,-0.068096
2335000000.0,0.393217,-0.065595
2340000000.0,0.395812,-0.06467
2345000000.0,0.410246,-0.0548
2350000000.0,0.411945,-0.076553
2355000000.0,0.422235,-0.081275
2360000000.0,0.429611,-0.082817
2365000000.0,0.422216,-0.090076
2370000000.0,0.434288,-0.09855
2375000000.0,0.437822,-0.100387
2380000000.0,0.43738,-0.11012
2385000000.0,0.439513,-0.125423
2390000000.0,0.437179,-0.134714
2395000000.0,0.443165,-0.131917
2400000000.0,0.438687,-0.146947
2405000000.0,0.431121,-0.170232
2410000000.0,0.418884,-0.193681
2415000000.0,0.422108,-0.183619
2420000000.0,0.426667,-0.181692
2425000000.0,0.405258,-0.208537
2430000000.0,0.394521,-0.222958
2435000000.0,0.389097,-0.220826
2440000000.0,0.374646,-0.228556
2445000000.0,0.36076,-0.238862
2450000000.0,0.350109,-0.233135
2455000000.0,0.324512,-0.245564
2460000000.0,0.310224,-0.23521
2465000000.0,0.288473,-0.236839
2470000000.0,0.272118,-0.228905
2475000000.0,0.253799,-0.217829
2480000000.0,0.24157,-0.19775
2485000000.0,0.229181,-0.178899
2490000000.0,0.223698,-0.159425
2495000000.0,0.218815,-0.139793
2500000000.0,0.21674,-0.117756
2505000000.0,0.22445,-0.095859
2510000000.0,0.232597,-0.076948
2515000000.0,0.243974,-0.055876
2520000000.0,0.25876,-0.043559
2525000000.0,0.283826,-0.028123
2530000000.0,0.299652,-0.022688
2535000000.0,0.316521,-0.022991
2540000000.0,0.344576,-0.005194
2545000000.0,0.362896,-0.012639
2550000000.0,0.384772,-0.014841
2555000000.0,0.400373,-0.023148
