Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.751627,0.4746
2005000000.0,0.749168,0.469705
2010000000.0,0.762104,0.436132
2015000000.0,0.777719,0.425975
2020000000.0,0.783234,0.418052
2025000000.0,0.769737,0.4243
2030000000.0,0.782418,0.384983
2035000000.0,0.790917,0.368546
2040000000.0,0.798667,0.359726
2045000000.0,0.796055,0.33854
2050000000.0,0.80682,0.31479
2055000000.0,0.814027,0.294299
2060000000.0,0.813564,0.292159
2065000000.0,0.814224,0.276964
2070000000.0,0.823098,0.24474
2075000000.0,0.816063,0.238563
2080000000.0,0.82791,0.214165
2085000000.0,0.827602,0.196236
2090000000.0,0.828149,0.188285
2095000000.0,0.831453,0.165049
2100000000.0,0.828247,0.140452
2105000000.0,0.827197,0.12145
2110000000.0,0.822246,0.109967
2115000000.0,0.826624,0.088473
2120000000.0,0.824821,0.078079
2125000000.0,0.822507,0.047694
2130000000.0,0.818867,0.041724
2135000000.0,0.812258,-0.004137
2140000000.0,0.804891,-0.014904
2145000000.0,0.797591,-0.016222
2150000000.0,0.793392,-0.071354
2155000000.0,0.786643,-0.068489
2160000000.0,0.776605,-0.087051
2165000000.0,0.766695,-0.109689
2170000000.0,0.752428,-0.136777
2175000000.0,0.744494,-0.150312
2180000000.0,0.732222,-0.168762
2185000000.0,0.717045,-0.186621
2190000000.0,0.697702,-0.219737
2195000000.0,0.685488,-0.214143
2200000000.0,0.658334,-0.237512
2205000000.0,0.641657,-0.257457
2210000000.0,0.618436,-0.256148
2215000000.0,0.599584,-0.269182
2220000000.0,0.574957,-0.295417
2225000000.0,0.552685,-0.289022
2230000000.0,0.530256,-0.294849
2235000000.0,0.507396,-0.28238
2240000000.0,0.481742,-0.299121
2245000000.0,0.455164,-0.293421
2250000000.0,0.440865,-0.288251
2255000000.0,0.420106,-0.281231
2260000000.0,0.395073,-0.286115
2265000000.0,0.384423,-0.257582
2270000000.0,0.367247,-0.252205
2275000000.0,0.356572,-0.240055
2280000000.0,0.339023,-0.230469
2285000000.0,0.32579,-0.2178
2290000000.0,0.317832,-0.204347
2295000000.0,0.308094,-0.195221
2300000000.0,0.307769,-0.182658
2305000000.0,0.30429,-0.161066
2310000000.0,0.300218,-0.156258
2315000000.0,0.299837,-0.143707
2320000000.0,0.295319,-0.13336
2325000000.0,0.298783,-0.120466
2330000000.0,0.299069,-0.112878
2335000000.0,0.304555,-0.102404
2340000000.0,0.305503,-0.092889
2345000000.0,0.317218,-0.074694
2350000000.0,0.317476,-0.083376
2355000000.0,0.326613,-0.073359
2360000000.0,0.338314,-0.058257
2365000000.0,0.341847,-0.069793
2370000000.0,0.357641,-0.054262
2375000000.0,0.369431,-0.056075
2380000000.0,0.380492,-0.050247
2385000000.0,0.389584,-0.060885
2390000000.0,0.40152,-0.076404
2395000000.0,0.411126,-0.074616
2400000000.0,0.419332,-0.087412
2405000000.0,0.422133,-0.108218
2410000000.0,0.420175,-0.12711
2415000000.0,0.428866,-0.131744
2420000000.0,0.438973,-0.124057
2425000000.0,0.428134,-0.156056
2430000000.0,0.428414,-0.170798
2435000000.0,0.428298,-0.172964
2440000000.0,0.420399,-0.188396
2445000000.0,0.406652,-0.215709
2450000000.0,0.403782,-0.217716
2455000000.0,0.386254,-0.244457
2460000000.0,0.380425,-0.238161
2465000000.0,0.356912,-0.251236
2470000000.0,0.336007,-0.25987
2475000000.0,0.320154,-0.257601
2480000000.0,0.303932,-0.252965
2485000000.0,0.274537,-0.255367
2490000000.0,0.261893,-0.241977
2495000000.0,0.241438,-0.230636
2500000000.0,0.229237,-0.211866
2505000000.0,0.212933,-0.198215
2510000000.0,0.204092,-0.177671
2515000000.0,0.201188,-0.152737
2520000000.0,0.197101,-0.133703
2525000000.0,0.209125,-0.1104
2530000000.0,0.213513,-0.090389
2535000000.0,0.221666,-0.076072
2540000000.0,0.243161,-0.051809
2545000000.0,0.259688,-0.038798
2550000000.0,0.276514,-0.028926
2555000000.0,0.297605,-0.016859
2560000000.0,0.313025,-0.026326
2565000000.0,0.339366,-0.016733
2570000000.0,0.35626,-0.018012
2575000000.0,0.375925,-0.026703
2580000000.0,0.400125,-0.027013
2585000000.0,0.420817,-0.038513
2590000000.0,0.434539,-0.046507
2595000000.0,0.449779,-0.056432
2600000000.0,0.465937,-0.076852
2605000000.0,0.478881,-0.094547
2610000000.0,0.489125,-0.110885
2615000000.0,0.49656,-0.123829
2620000000.0,0.505174,-0.136552
2625000000.0,0.507089,-0.164069
2630000000.0,0.509499,-0.184382
2635000000.0,0.510475,-0.213617
2640000000.0,0.504785,-0.220545
2645000000.0,0.502009,-0.242244
2650000000.0,0.488874,-0.267289
2655000000.0,0.485732,-0.274586
2660000000.0,0.473453,-0.29223
2665000000.0,0.470081,-0.307126
2670000000.0,0.462529,-0.3217
2675000000.0,0.452045,-0.323086
2680000000.0,0.436596,-0.337222
2685000000.0,0.428452,-0.351472
2690000000.0,0.430478,-0.355039
2695000000.0,0.419442,-0.354865
2700000000.0,0.40487,-0.365077
2705000000.0,0.404532,-0.368437
