Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.752873,0.458077
2005000000.0,0.751053,0.458618
2010000000.0,0.763589,0.434763
2015000000.0,0.769483,0.421607
2020000000.0,0.7693,0.414701
2025000000.0,0.781438,0.388984
2030000000.0,0.786666,0.365234
2035000000.0,0.791824,0.342102
2040000000.0,0.791077,0.33007
2045000000.0,0.799307,0.316577
2050000000.0,0.797034,0.306601
2055000000.0,0.805584,0.277217
2060000000.0,0.803288,0.266318
2065000000.0,0.808103,0.249927
2070000000.0,0.819001,0.220025
2075000000.0,0.807623,0.225758
2080000000.0,0.81137,0.200884
2085000000.0,0.808497,0.1709
2090000000.0,0.809405,0.163914
2095000000.0,0.810421,0.136111
2100000000.0,0.812728,0.12012
2105000000.0,0.803634,0.098816
2110000000.0,0.807138,0.079245
2115000000.0,0.803466,0.067648
2120000000.0,0.802724,0.048084
2125000000.0,0.798966,0.034112
2130000000.0,0.790026,0.021662
2135000000.0,0.78609,-0.016562
2140000000.0,0.778549,-0.026499
2145000000.0,0.761389,-0.04502
2150000000.0,0.75811,-0.073051
2155000000.0,0.747597,-0.084204
2160000000.0,0.738271,-0.101499
2165000000.0,0.723848,-0.116066
2170000000.0,0.712087,-0.13793
2175000000.0,0.694844,-0.153699
2180000000.0,0.679943,-0.168938
2185000000.0,0.65745,-0.190009
2190000000.0,0.637693,-0.216467
2195000000.0,0.626621,-0.209202
2200000000.0,0.605765,-0.223724
2205000000.0,0.582671,-0.23005
2210000000.0,0.563883,-0.236765
2215000000.0,0.542033,-0.238506
2220000000.0,0.518536,-0.24969
2225000000.0,0.494318,-0.252534
2230000000.0,0.4767,-0.24545
2235000000.0,0.460526,-0.226932
2240000000.0,0.442638,-0.234628
2245000000.0,0.415898,-0.218963
2250000000.0,0.408161,-0.217549
2255000000.0,0.395752,-0.196494
2260000000.0,0.391668,-0.205039
2265000000.0,0.379516,-0.168272
2270000000.0,0.361433,-0.171423
2275000000.0,0.359283,-0.159701
2280000000.0,0.35295,-0.146719
2285000000.0,0.344671,-0.144685
2290000000.0,0.346341,-0.117455
2295000000.0,0.343057,-0.116493
2300000000.0,0.346292,-0.103673
2305000000.0,0.343508,-0.093381
2310000000.0,0.352525,-0.080181
2315000000.0,0.35711,-0.079948
2320000000.0,0.358507,-0.067573
2325000000.0,0.37038,-0.060684
2330000000.0,0.374414,-0.066727
