Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.746834,0.479182
2005000000.0,0.748205,0.477816
2010000000.0,0.766384,0.456436
2015000000.0,0.774087,0.437406
2020000000.0,0.773739,0.432201
2025000000.0,0.775486,0.426685
2030000000.0,0.791611,0.394097
2035000000.0,0.777243,0.430662
2040000000.0,0.803216,0.354656
2045000000.0,0.803356,0.34105
2050000000.0,0.800487,0.340749
2055000000.0,0.813365,0.309291
2060000000.0,0.811837,0.302771
2065000000.0,0.815889,0.287593
2070000000.0,0.825463,0.252855
2075000000.0,0.821541,0.253708
2080000000.0,0.828556,0.229888
2085000000.0,0.843314,0.110853
2090000000.0,0.828576,0.199528
2095000000.0,0.834771,0.174798
2100000000.0,0.839277,0.04689
2105000000.0,0.828827,0.140394
2110000000.0,0.832011,0.110308
2115000000.0,0.829134,0.099419
2120000000.0,0.830195,0.076861
2125000000.0,0.834617,0.059937
2130000000.0,0.829652,0.051871
2135000000.0,0.825114,0.011171
2140000000.0,0.813452,0.00863
2145000000.0,0.802304,-0.010481
2150000000.0,0.807961,-0.034264
2155000000.0,0.795533,-0.058762
2160000000.0,0.788445,-0.079503
2165000000.0,0.782216,-0.096812
2170000000.0,0.773543,-0.122199
2175000000.0,0.752247,-0.138074
2180000000.0,0.748329,-0.158552
2185000000.0,0.731503,-0.176594
2190000000.0,0.720247,-0.203558
2195000000.0,0.707871,-0.214098
2200000000.0,0.676196,-0.249829
2205000000.0,0.669099,-0.253619
2210000000.0,0.648197,-0.254678
2215000000.0,0.63212,-0.268057
2220000000.0,0.603173,-0.292787
2225000000.0,0.580998,-0.296809
2230000000.0,0.559718,-0.30107
2235000000.0,0.534938,-0.295518
2240000000.0,0.512088,-0.31445
2245000000.0,0.487107,-0.305456
2250000000.0,0.462815,-0.311979
2255000000.0,0.432551,-0.304869
2260000000.0,0.416475,-0.308712
2265000000.0,0.399387,-0.286907
2270000000.0,0.367243,-0.291577
2275000000.0,0.361037,-0.267412
2280000000.0,0.341531,-0.265036
2285000000.0,0.323371,-0.251518
2290000000.0,0.31371,-0.234504
