Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.694203,0.60473
2004784688.0,0.70232,0.602589
2009569376.0,0.719253,0.588561
2014354064.0,0.733352,0.573713
2019138752.0,0.735773,0.576567
2023923440.0,0.744611,0.560818
2028708128.0,0.759672,0.544931
2033492816.0,0.764348,0.538907
2038277504.0,0.770537,0.527276
2043062192.0,0.775465,0.520806
2047846880.0,0.787624,0.507912
2052631568.0,0.80389,0.485356
2057416256.0,0.803428,0.492364
2062200944.0,0.807746,0.479871
2066985632.0,0.826549,0.453425
2071770320.0,0.830454,0.441006
2076555008.0,0.826167,0.446035
2081339696.0,0.83945,0.434278
2086124384.0,0.845717,0.411993
2090909072.0,0.852127,0.399112
2095693760.0,0.856182,0.396635
2100478448.0,0.863565,0.38156
2105263136.0,0.873099,0.349403
2110047824.0,0.878934,0.338791
2114832512.0,0.876942,0.335428
2119617200.0,0.887675,0.31602
2124401888.0,0.896847,0.299889
2129186576.0,0.89459,0.292841
2133971264.0,0.901165,0.270375
2138755952.0,0.902267,0.271893
2143540640.0,0.897915,0.248326
2148325328.0,0.907946,0.229957
2153110016.0,0.908206,0.222314
2157894704.0,0.916331,0.200404
2162679392.0,0.920077,0.176537
2167464080.0,0.917391,0.185345
2172248768.0,0.916682,0.156766
2177033456.0,0.920393,0.15482
2181818144.0,0.924876,0.131432
2186602832.0,0.927933,0.107056
2191387520.0,0.928404,0.114739
2196172208.0,0.926442,0.098743
2200956896.0,0.932831,0.063635
2205741584.0,0.926717,0.061564
2210526272.0,0.926891,0.059113
2215310960.0,0.925005,0.061992
2220095648.0,0.928679,0.021949
2224880336.0,0.929927,0.001967
2229665024.0,0.931921,-0.008566
2234449712.0,0.921792,-0.007872
2239234400.0,0.92779,-0.036161
2244019088.0,0.928307,-0.045817
2248803776.0,0.922598,-0.054323
2253588464.0,0.92434,-0.071723
2258373152.0,0.929439,-0.097762
2263157840.0,0.922034,-0.107177
2267942528.0,0.916071,-0.114182
2272727216.0,0.913162,-0.13244
2277511904.0,0.919534,-0.128672
2282296592.0,0.913529,-0.168358
2287081280.0,0.914403,-0.153014
2291865968.0,0.900591,-0.183978
2296650656.0,0.921091,-0.193103
2301435344.0,0.900838,-0.222215
2306220032.0,0.899547,-0.214028
2311004720.0,0.901533,-0.233274
2315789408.0,0.904785,-0.251764
2320574096.0,0.897532,-0.265772
2325358784.0,0.886869,-0.29568
2330143472.0,0.872864,-0.296383
2334928160.0,0.887565,-0.316106
2339712848.0,0.862623,-0.338778
2344497536.0,0.884582,-0.334737
2349282224.0,0.863413,-0.364337
2354066912.0,0.853154,-0.391488
2358851600.0,0.855189,-0.395353
2363636288.0,0.840949,-0.408092
2368420976.0,0.844282,-0.419516
2373205664.0,0.835653,-0.440741
2377990352.0,0.832447,-0.449901
2382775040.0,0.822393,-0.4564
2387559728.0,0.80888,-0.495678
2392344416.0,0.793877,-0.509973
2397129104.0,0.7809,-0.523397
2401913792.0,0.766833,-0.52784
2406698480.0,0.742113,-0.572844
2411483168.0,0.713704,-0.593056
2416267856.0,0.715094,-0.587241
2421052544.0,0.717842,-0.582886
2425837232.0,0.683119,-0.612638
2430621920.0,0.671608,-0.619674
2435406608.0,0.667843,-0.618778
2440191296.0,0.658586,-0.621532
2444975984.0,0.63715,-0.636019
2449760672.0,0.629388,-0.638971
2454545360.0,0.593847,-0.665744
2459330048.0,0.604061,-0.651057
2464114736.0,0.574552,-0.667317
2468899424.0,0.560011,-0.666651
2473684112.0,0.547668,-0.674981
2478468800.0,0.543152,-0.670039
2483253488.0,0.533237,-0.676648
2488038176.0,0.52084,-0.674586
2492822864.0,0.498821,-0.685559
2497607552.0,0.491799,-0.694017
2502392240.0,0.485976,-0.694614
2507176928.0,0.481856,-0.698835
2511961616.0,0.463044,-0.698969
2516746304.0,0.448559,-0.705704
2521530992.0,0.430925,-0.714769
2526315680.0,0.440544,-0.719349
2531100368.0,0.422161,-0.723454
2535885056.0,0.402839,-0.736851
2540669744.0,0.434448,-0.732104
2545454432.0,0.392141,-0.740081
2550239120.0,0.391917,-0.74915
2555023808.0,0.360756,-0.754222
2559808496.0,0.362751,-0.759315
2564593184.0,0.351781,-0.76455
2569377872.0,0.343356,-0.769218
2574162560.0,0.330896,-0.778482
2578947248.0,0.311891,-0.796228
2583731936.0,0.309169,-0.792403
2588516624.0,0.295384,-0.802595
2593301312.0,0.284416,-0.803139
2598086000.0,0.256387,-0.820798
2602870688.0,0.25892,-0.823227
2607655376.0,0.239249,-0.818806
2612440064.0,0.216175,-0.825505
2617224752.0,0.203796,-0.828592
2622009440.0,0.173273,-0.833089
2626794128.0,0.169989,-0.838098
2631578816.0,0.146888,-0.847458
2636363504.0,0.128238,-0.850361
2641148192.0,0.129653,-0.838451
2645932880.0,0.101118,-0.85444
2650717568.0,0.07736,-0.86585
2655502256.0,0.067309,-0.858658
2660286944.0,0.052476,-0.860675
2665071632.0,0.023554,-0.876738
2669856320.0,-0.001358,-0.876928
2674641008.0,-0.017892,-0.880142
2679425696.0,-0.032476,-0.8806
2684210384.0,-0.044326,-0.882518
2688995072.0,-0.068385,-0.88293
2693779760.0,-0.084681,-0.876361
2698564448.0,-0.106755,-0.881208
2703349136.0,-0.130579,-0.87863
2708133824.0,-0.149327,-0.873245
2712918512.0,-0.180633,-0.864708
2717703200.0,-0.181251,-0.858214
2722487888.0,-0.213885,-0.849585
2727272576.0,-0.233955,-0.840232
2732057264.0,-0.236939,-0.839773
2736841952.0,-0.271453,-0.825379
2741626640.0,-0.288737,-0.81053
2746411328.0,-0.318379,-0.808181
2751196016.0,-0.312967,-0.807156
2755980704.0,-0.357305,-0.774111
2760765392.0,-0.378005,-0.773335
2765550080.0,-0.38353,-0.76634
2770334768.0,-0.410268,-0.743496
2775119456.0,-0.412809,-0.742069
2779904144.0,-0.442132,-0.70792
2784688832.0,-0.454297,-0.716447
2789473520.0,-0.475708,-0.6858
2794258208.0,-0.498636,-0.66793
2799042896.0,-0.492178,-0.663534
2803827584.0,-0.515402,-0.64453
2808612272.0,-0.534044,-0.615942
2813396960.0,-0.549229,-0.587185
