Freq (Hz),s21avg
2000000000.0,-0.399707485861744
2001001000.7927928,-0.4151424270828938
2002002001.5855856,-0.4303440757823906
2003003002.3783784,-0.44525775402547335
2004004003.1711712,-0.4601714322685557
2005005003.963964,-0.475085110511638
2006006004.7567568,-0.4899987887547201
2007007005.5495496,-0.5050034747464857
2008008006.3423424,-0.5200534639339843
2009009007.1351352,-0.5351034531214829
2010010007.927928,-0.5501534423089812
2011011008.7207208,-0.5652034314964798
2012012009.5135136,-0.5798992286801855
2013013010.3063064,-0.5945502379032125
2014014011.0990992,-0.6092012471262394
2015015011.891892,-0.623852256349266
2016016012.6846848,-0.6384606081049815
2017017013.4774776,-0.6527160530321546
2018018014.2702703,-0.6669714979593268
2019019015.0630631,-0.6812269428864992
2020020015.855856,-0.6954823878136718
2021021016.6486487,-0.7095527555891615
2022022017.4414415,-0.7232438294488558
2023023018.2342343,-0.7369349033085502
2024024019.0270271,-0.7506259771682444
2025025019.81982,-0.764317051027939
2026026020.6126127,-0.7775641643934268
2027027021.4054055,-0.7904451370692671
2028028022.1981983,-0.803326109745108
2029029022.9909909,-0.8162070824209443
2030030023.7837837,-0.8290880550967854
2031031024.5765765,-0.8442585449341661
2032032025.3693693,-0.8601201683660712
2033033026.162162,-0.8759817917979756
2034034026.9549549,-0.8918434152298802
2035035027.7477477,-0.9077050386617844
2036036028.5405405,-0.9219494923357495
2037037029.3333333,-0.9361746724781486
2038038030.126126,-0.9503998526205477
2039039030.9189188,-0.9646250327629471
2040040031.7117116,-0.979480300277951
2041041032.5045044,-0.9967301224545688
2042042033.2972972,-1.0139799446311868
2043043034.09009,-1.0312297668078036
2044044034.8828828,-1.0484795889844218
2045045035.6756756,-1.065347616600686
2046046036.4684684,-1.0817062568009468
2047047037.2612612,-1.0980648970012081
2048048038.054054,-1.114423537201469
2049049038.8468468,-1.1307821774017295
2050050039.6396396,-1.1488613997717743
2051051040.4324324,-1.1678731737718655
2052052041.2252252,-1.1868849477719567
2053053042.018018,-1.2058967217720495
2054054042.8108108,-1.2249084957721412
2055055043.6036036,-1.2443138096186142
2056056044.3963964,-1.2637786547045622
2057057045.1891892,-1.2832434997905096
2058058045.981982,-1.3027083448764571
2059059046.7747748,-1.3224154090946925
2060060047.5675676,-1.3446109985060615
2061061048.3603604,-1.3668065879174296
2062062049.1531532,-1.3890021773287988
2063063049.945946,-1.4111977667401678
2064064050.7387388,-1.433995723185326
2065065051.5315316,-1.4581420053628518
2066066052.3243244,-1.482288287540377
2067067053.1171172,-1.506434569717902
2068068053.90991,-1.5305808518954278
2069069054.7027028,-1.5556339993196724
2070070055.4954956,-1.5814949320715432
2071071056.2882884,-1.6073558648234163
2072072057.0810812,-1.6332167975752874
2073073057.873874,-1.6590777303271587
2074074058.6666667,-1.6859279693677973
2075075059.4594595,-1.7131097597052116
2076076060.2522523,-1.7402915500426268
2077077061.0450451,-1.7674733403800416
2078078061.837838,-1.7946551307174572
2079079062.6306307,-1.8270431845092225
2080080063.4234235,-1.8595973325395627
2081081064.2162163,-1.8921514805699031
2082082065.009009,-1.924705628600236
2083083065.8018017,-1.9572469524949636
2084084066.5945945,-1.9897333122442595
2085085067.3873873,-2.0222196719935566
2086086068.18018,-2.0547060317428523
2087087068.9729729,-2.0871923914921497
2088088069.7657657,-2.1206663232468146
2089089070.5585585,-2.1555656624372905
2090090071.3513513,-2.190465001627764
2091091072.144144,-2.2253643408182393
2092092072.9369369,-2.2602636800087144
2093093073.7297297,-2.2976830145934413
2094094074.5225224,-2.336586346465898
2095095075.3153152,-2.375489678338355
2096096076.108108,-2.4143930102108104
2097097076.9009008,-2.453296342083268
2098098077.6936936,-2.4955466287733348
2099099078.4864864,-2.5383900283405256
2100100079.2792792,-2.581233427907719
2101101080.072072,-2.6240768274749113
2102102080.8648648,-2.667166860202778
2103103081.6576576,-2.713555774571841
2104104082.4504504,-2.7599446889409043
2105105083.2432432,-2.806333603309964
2106106084.036036,-2.8527225176790263
2107107084.8288288,-2.9001724648287563
2108108085.6216216,-2.9502244364596644
2109109086.4144144,-3.0002764080905733
2110110087.2072072,-3.0503283797214804
2111111088.0,-3.10038035135239
2112112088.7927928,-3.1511426277838006
2113113089.5855856,-3.2025880276767813
2114114090.3783784,-3.254033427569759
2115115091.1711712,-3.3054788274627405
2116116091.963964,-3.3569242273557194
2117117092.7567568,-3.4119461609333346
2118118093.5495496,-3.4682919350175148
2119119094.3423424,-3.524637709101694
2120120095.1351352,-3.5809834831858773
2121121095.927928,-3.6373292572700566
2122122096.7207208,-3.6959129959282504
2123123097.5135136,-3.7546146591048757
2124124098.3063064,-3.8133163222814987
2125125099.0990992,-3.87201798545812
2126126099.891892,-3.931009076666791
2127127100.6846848,-3.991412852317604
2128128101.4774776,-4.051816627968417
2129129102.2702703,-4.11222040361923
2130130103.0630631,-4.172624179270043
2131131103.855856,-4.234216104088659
2132132104.6486487,-4.297665352653549
2133133105.4414415,-4.36111460121844
2134134106.2342343,-4.424563849783329
2135135107.0270271,-4.488013098348217
2136136107.81982,-4.549821037129692
2137137108.6126127,-4.6105806363088515
2138138109.4054055,-4.671340235488012
2139139110.1981983,-4.732099834667171
2140140110.990991,-4.792859433846328
2141141111.783784,-4.853701136154267
2142142112.5765765,-4.914559615741601
2143143113.3693693,-4.9754180953289575
2144144114.162162,-5.036276574916311
2145145114.9549549,-5.09697720282448
2146146115.7477477,-5.154705149475059
2147147116.5405405,-5.212433096125637
2148148117.3333335,-5.270161042776222
2149149118.1261263,-5.3278889894268
2150150118.918919,-5.384747177559023
2151151119.711712,-5.439259976053999
2152152120.5045047,-5.493772774548977
2153153121.2972975,-5.548285573043948
2154154122.0900903,-5.602798371538928
2155155122.882883,-5.653404838364872
2156156123.675676,-5.6999555189718185
2157157124.4684687,-5.746506199578759
2158158125.2612615,-5.7930568801856985
2159159126.0540543,-5.839607560792645
2160160126.846847,-5.884807247854226
2161161127.63964,-5.929457022473214
2162162128.4324327,-5.974106797092199
2163163129.2252254,-6.018756571711186
2164164130.018018,-6.063406346330149
2165165130.810811,-6.096799533161599
2166166131.6036034,-6.129355931339774
2167167132.3963966,-6.161912329517982
2168168133.189189,-6.194468727696151
2169169133.981982,-6.226258253155028
2170170134.7747746,-6.253732716751726
2171171135.5675673,-6.281207180348437
2172172136.36036,-6.30868164394515
2173173137.153153,-6.33615610754186
2174174137.9459457,-6.360498094222356
2175175138.7387385,-6.379529165178831
2176176139.5315313,-6.398560236135303
2177177140.324324,-6.417591307091778
2178178141.117117,-6.436622378048239
2179179141.9099097,-6.452253112719738
2180180142.7027025,-6.465531559961224
2181181143.4954953,-6.4788100072027
2182182144.288288,-6.492088454444185
2183183145.081081,-6.505366901685664
2184184145.8738737,-6.5114016202189315
2185185146.6666665,-6.515750298449424
2186186147.4594593,-6.520098976679914
2187187148.252252,-6.5244476549104045
2188188149.045045,-6.52872037403262
2189189149.8378377,-6.530641041707936
2190190150.6306305,-6.532561709383255
2191191151.4234233,-6.534482377058568
2192192152.216216,-6.536403044733885
2193193153.009009,-6.537140698468912
2194194153.8018017,-6.5343552916555545
2195195154.5945945,-6.531569884842195
2196196155.3873873,-6.528784478028838
2197197156.18018,-6.5259990712154865
2198198156.972973,-6.52271005430035
2199199157.7657657,-6.518856490854267
2200200158.5585585,-6.51500292740818
2201201159.3513513,-6.511149363962093
2202202160.144144,-6.507295800516007
2203203160.936937,-6.501429092902444
2204204161.7297297,-6.494664559417493
2205205162.5225224,-6.487900025932542
2206206163.3153152,-6.4811354924475895
2207207164.108108,-6.47437095896263
2208208164.900901,-6.467505418498642
2209209165.6936936,-6.460630091326951
2210210166.4864864,-6.453754764155262
2211211167.279279,-6.446879436983575
2212212168.072072,-6.440308239875712
2213213168.864865,-6.43574107299287
2214214169.6576576,-6.431173906110031
2215215170.4504504,-6.426606739227188
2216216171.243243,-6.422039572344345
2217217172.036036,-6.416032832816611
2218218172.828829,-6.407374328197184
2219219173.6216216,-6.398715823577756
2220220174.4144144,-6.390057318958328
2221221175.207207,-6.381398814338906
2222222176.0,-6.376991035267429
2223223176.792793,-6.375764461995344
2224224177.5855856,-6.3745378887232675
2225225178.3783784,-6.373311315451187
2226226179.171171,-6.372084742179106
2227227179.963964,-6.371837752541903
2228228180.756757,-6.371847949128526
2229229181.5495496,-6.371858145715159
2230230182.3423424,-6.371868342301785
2231231183.135135,-6.371864264218798
2232232183.927928,-6.3706991796736645
2233233184.720721,-6.3695340951285315
2234234185.5135136,-6.368369010583399
2235235186.3063064,-6.367203926038262
2236236187.099099,-6.367501274972455
2237237187.891892,-6.372633229671909
2238238188.6846848,-6.377765184371352
2239239189.4774776,-6.382897139070806
2240240190.2702703,-6.388029093770256
