Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.774466,0.415081
2004784688.0,0.774139,0.399118
2009569376.0,0.778145,0.381884
2014354064.0,0.790622,0.346229
2019138752.0,0.795788,0.338993
2023923440.0,0.798765,0.319036
2028708128.0,0.798805,0.298131
2033492816.0,0.800462,0.280839
2038277504.0,0.804465,0.248493
2043062192.0,0.803023,0.235679
2047846880.0,0.803005,0.221467
2052631568.0,0.803331,0.19277
2057416256.0,0.798318,0.171173
2062200944.0,0.797566,0.15192
2066985632.0,0.792366,0.121071
2071770320.0,0.783379,0.097139
2076555008.0,0.773307,0.075656
2081339696.0,0.769524,0.05892
2086124384.0,0.749627,0.038024
2090909072.0,0.741457,0.027073
2095693760.0,0.727935,0.000265
2100478448.0,0.712182,-0.024892
2105263136.0,0.693441,-0.042147
2110047824.0,0.677765,-0.063968
2114832512.0,0.658136,-0.068212
2119617200.0,0.63597,-0.081911
2124401888.0,0.616464,-0.102821
2129186576.0,0.594365,-0.094991
2133971264.0,0.567134,-0.116297
2138755952.0,0.544991,-0.108765
2143540640.0,0.517392,-0.098064
2148325328.0,0.495539,-0.101712
2153110016.0,0.474269,-0.100485
2157894704.0,0.460519,-0.076874
2162679392.0,0.442073,-0.074648
2167464080.0,0.430398,-0.063153
2172248768.0,0.424075,-0.044374
2177033456.0,0.416922,-0.030838
2181818144.0,0.417104,-0.019806
2186602832.0,0.417506,-0.008265
2191387520.0,0.423857,0.006291
2196172208.0,0.427894,0.014883
2200956896.0,0.432592,0.008776
2205741584.0,0.441326,0.018738
2210526272.0,0.449103,0.021666
2215310960.0,0.451435,0.020117
2220095648.0,0.461313,0.011852
2224880336.0,0.455921,0.004912
2229665024.0,0.463478,0.000787
2234449712.0,0.462048,-0.004184
2239234400.0,0.46818,-0.011356
2244019088.0,0.463145,-0.01604
2248803776.0,0.464809,-0.019946
2253588464.0,0.456082,-0.032827
2258373152.0,0.460842,-0.042679
2263157840.0,0.451087,-0.044105
2267942528.0,0.449578,-0.048152
2272727216.0,0.444959,-0.053799
2277511904.0,0.435517,-0.053318
2282296592.0,0.42987,-0.063875
2287081280.0,0.420242,-0.068558
2291865968.0,0.409777,-0.074842
2296650656.0,0.397646,-0.071158
2301435344.0,0.396986,-0.07178
2306220032.0,0.384088,-0.07052
2311004720.0,0.374483,-0.075584
2315789408.0,0.365378,-0.072423
2320574096.0,0.348622,-0.071018
2325358784.0,0.341731,-0.066599
2330143472.0,0.331359,-0.062907
2334928160.0,0.320403,-0.056252
2339712848.0,0.30709,-0.045011
2344497536.0,0.298121,-0.027561
2349282224.0,0.28647,-0.021331
2354066912.0,0.281046,-0.001789
2358851600.0,0.27595,0.020928
2363636288.0,0.26894,0.035237
2368420976.0,0.272492,0.058963
2373205664.0,0.276846,0.087309
2377990352.0,0.284533,0.11851
2382775040.0,0.300067,0.142958
2387559728.0,0.32542,0.161708
2392344416.0,0.346527,0.186787
2397129104.0,0.379979,0.203211
2401913792.0,0.411176,0.195729
2406698480.0,0.452081,0.188014
2411483168.0,0.486543,0.180785
2416267856.0,0.511391,0.187258
2421052544.0,0.531961,0.179374
2425837232.0,0.557451,0.147967
2430621920.0,0.574646,0.142117
2435406608.0,0.589016,0.134118
2440191296.0,0.599696,0.114321
2444975984.0,0.617579,0.086914
2449760672.0,0.626779,0.085603
2454545360.0,0.646515,0.05271
2459330048.0,0.65525,0.051744
2464114736.0,0.660576,0.033562
2468899424.0,0.668192,0.012837
2473684112.0,0.677521,-0.008435
2478468800.0,0.685479,-0.025981
2483253488.0,0.686197,-0.047545
2488038176.0,0.691108,-0.058976
2492822864.0,0.695122,-0.071711
2497607552.0,0.691728,-0.097615
2502392240.0,0.695309,-0.121575
2507176928.0,0.694439,-0.141717
2511961616.0,0.686681,-0.167413
2516746304.0,0.684951,-0.183516
2521530992.0,0.692848,-0.18722
2526315680.0,0.688751,-0.206303
2531100368.0,0.679433,-0.221077
2535885056.0,0.673779,-0.237054
2540669744.0,0.680779,-0.241087
2545454432.0,0.670704,-0.268393
2550239120.0,0.666525,-0.287072
2555023808.0,0.670251,-0.293108
2559808496.0,0.656509,-0.295639
2564593184.0,0.657056,-0.31845
2569377872.0,0.647642,-0.332331
2574162560.0,0.642794,-0.346713
2578947248.0,0.648876,-0.3609
2583731936.0,0.647999,-0.366766
2588516624.0,0.643278,-0.38266
2593301312.0,0.633535,-0.400608
2598086000.0,0.632437,-0.417252
2602870688.0,0.610514,-0.441759
2607655376.0,0.602142,-0.454348
2612440064.0,0.591798,-0.455715
2617224752.0,0.58999,-0.47274
2622009440.0,0.574018,-0.485017
2626794128.0,0.574326,-0.499699
2631578816.0,0.558791,-0.512896
2636363504.0,0.543677,-0.538251
2641148192.0,0.520149,-0.550843
2645932880.0,0.519634,-0.553967
2650717568.0,0.494898,-0.572375
2655502256.0,0.491942,-0.582101
2660286944.0,0.462525,-0.594593
2665071632.0,0.461581,-0.606099
2669856320.0,0.421541,-0.628886
2674641008.0,0.409268,-0.639721
2679425696.0,0.390489,-0.650506
2684210384.0,0.372671,-0.645731
2688995072.0,0.348734,-0.660219
2693779760.0,0.320582,-0.666471
2698564448.0,0.3072,-0.671176
2703349136.0,0.306712,-0.654049
2708133824.0,0.268308,-0.665471
2712918512.0,0.243443,-0.666273
2717703200.0,0.23527,-0.655426
2722487888.0,0.206269,-0.648473
2727272576.0,0.179547,-0.638525
2732057264.0,0.173077,-0.63449
2736841952.0,0.145822,-0.61593
2741626640.0,0.1404,-0.605334
2746411328.0,0.110079,-0.593559
2751196016.0,0.104025,-0.583421
2755980704.0,0.079454,-0.562668
2760765392.0,0.070382,-0.546933
2765550080.0,0.075454,-0.53161
2770334768.0,0.049268,-0.520037
2775119456.0,0.063819,-0.502772
2779904144.0,0.039999,-0.485514
2784688832.0,0.054447,-0.476437
2789473520.0,0.062476,-0.460363
2794258208.0,0.058007,-0.445824
2799042896.0,0.065404,-0.434173
2803827584.0,0.072768,-0.42752
2808612272.0,0.077054,-0.421332
2813396960.0,0.091402,-0.409887
2818181648.0,0.101711,-0.405062
2822966336.0,0.107868,-0.397676
2827751024.0,0.121264,-0.401816
2832535712.0,0.130303,-0.405298
2837320400.0,0.131812,-0.408156
2842105088.0,0.138431,-0.414493
2846889776.0,0.148522,-0.412078
2851674464.0,0.165517,-0.422778
2856459152.0,0.153497,-0.434515
2861243840.0,0.15546,-0.446816
2866028528.0,0.154574,-0.450856
2870813216.0,0.159869,-0.459789
2875597904.0,0.162583,-0.465719
2880382592.0,0.154167,-0.469868
2885167280.0,0.155982,-0.484137
2889951968.0,0.147371,-0.491865
2894736656.0,0.148436,-0.492499
2899521344.0,0.141232,-0.499189
2904306032.0,0.138819,-0.498539
2909090720.0,0.131592,-0.50857
2913875408.0,0.131193,-0.514462
2918660096.0,0.118402,-0.519728
2923444784.0,0.10768,-0.524761
2928229472.0,0.09622,-0.528067
2933014160.0,0.093142,-0.53012
2937798848.0,0.087232,-0.536317
2942583536.0,0.074831,-0.538814
2947368224.0,0.076987,-0.537491
2952152912.0,0.06513,-0.543634
2956937600.0,0.053979,-0.545628
2961722288.0,0.051696,-0.549423
2966506976.0,0.045631,-0.555986
2971291664.0,0.045157,-0.550218
2976076352.0,0.030015,-0.552621
2980861040.0,0.019358,-0.557991
2985645728.0,0.023023,-0.558777
2990430416.0,0.011299,-0.558549
2995215104.0,-0.005451,-0.559811
2999999792.0,-0.008742,-0.563058
