Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.71231,0.548612
2005000000.0,0.722365,0.538543
2010000000.0,0.734378,0.529413
2015000000.0,0.741807,0.518887
2020000000.0,0.742171,0.512301
2025000000.0,0.763631,0.487038
2030000000.0,0.767993,0.484779
2035000000.0,0.778645,0.46745
2040000000.0,0.783718,0.449908
2045000000.0,0.786907,0.447396
2050000000.0,0.802516,0.417308
2055000000.0,0.806854,0.422228
2060000000.0,0.817201,0.400058
2065000000.0,0.817277,0.401467
2070000000.0,0.833847,0.365633
2075000000.0,0.839714,0.35019
2080000000.0,0.845326,0.336836
2085000000.0,0.852751,0.288381
2090000000.0,0.857879,0.290412
2095000000.0,0.870149,0.252203
2100000000.0,0.87075,0.239299
2105000000.0,0.87498,0.226266
2110000000.0,0.873061,0.214894
2115000000.0,0.87904,0.172146
2120000000.0,0.879413,0.175953
2125000000.0,0.876207,0.151265
2130000000.0,0.878815,0.130042
2135000000.0,0.883249,0.098966
2140000000.0,0.877901,0.082147
2145000000.0,0.878514,0.076587
2150000000.0,0.87308,0.059263
2155000000.0,0.874915,0.025769
2160000000.0,0.874345,0.009287
2165000000.0,0.874432,-0.028483
2170000000.0,0.866458,-0.042432
2175000000.0,0.858708,-0.074254
2180000000.0,0.848155,-0.089715
2185000000.0,0.847619,-0.114289
2190000000.0,0.834036,-0.138223
2195000000.0,0.832903,-0.154592
2200000000.0,0.815949,-0.180934
2205000000.0,0.801879,-0.225469
2210000000.0,0.797375,-0.224686
2215000000.0,0.788801,-0.238764
2220000000.0,0.767819,-0.259928
2225000000.0,0.738132,-0.305399
2230000000.0,0.730495,-0.319088
2235000000.0,0.694346,-0.361799
2240000000.0,0.671034,-0.374044
2245000000.0,0.638559,-0.402155
2250000000.0,0.616807,-0.411049
2255000000.0,0.576036,-0.443931
2260000000.0,0.540352,-0.427509
2265000000.0,0.498936,-0.452126
2270000000.0,0.457551,-0.454637
2275000000.0,0.423461,-0.448343
2280000000.0,0.380372,-0.448403
2285000000.0,0.344369,-0.429608
2290000000.0,0.296765,-0.410978
2295000000.0,0.270849,-0.388562
2300000000.0,0.215251,-0.376694
2305000000.0,0.215416,-0.334181
2310000000.0,0.200883,-0.299723
2315000000.0,0.189698,-0.270869
2320000000.0,0.182065,-0.240868
2325000000.0,0.198764,-0.202494
2330000000.0,0.192146,-0.180666
2335000000.0,0.190309,-0.165473
2340000000.0,0.195271,-0.145207
2345000000.0,0.206649,-0.129002
2350000000.0,0.216617,-0.113032
2355000000.0,0.228914,-0.104481
2360000000.0,0.240335,-0.089702
2365000000.0,0.249432,-0.088657
2370000000.0,0.260529,-0.081279
2375000000.0,0.273138,-0.075298
2380000000.0,0.277443,-0.087748
2385000000.0,0.291199,-0.078457
2390000000.0,0.30117,-0.080662
2395000000.0,0.305048,-0.083862
2400000000.0,0.310081,-0.092448
2405000000.0,0.318655,-0.088571
2410000000.0,0.314802,-0.103393
2415000000.0,0.312721,-0.11358
2420000000.0,0.314059,-0.125437
2425000000.0,0.308131,-0.130488
2430000000.0,0.298765,-0.138146
2435000000.0,0.28652,-0.145237
2440000000.0,0.279095,-0.14253
2445000000.0,0.263084,-0.149372
2450000000.0,0.246805,-0.146706
2455000000.0,0.23586,-0.139673
2460000000.0,0.222961,-0.133094
2465000000.0,0.205934,-0.123474
2470000000.0,0.198655,-0.109179
2475000000.0,0.189833,-0.09558
2480000000.0,0.184376,-0.075783
