Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.694997,0.547604
2005000000.0,0.70649,0.535187
2010000000.0,0.715738,0.53406
2015000000.0,0.726413,0.511738
2020000000.0,0.731684,0.504557
2025000000.0,0.746905,0.490202
2030000000.0,0.75817,0.474629
2035000000.0,0.762429,0.465917
2040000000.0,0.772928,0.448098
2045000000.0,0.775312,0.44146
2050000000.0,0.782641,0.425373
2055000000.0,0.793574,0.427084
2060000000.0,0.795201,0.402332
2065000000.0,0.80954,0.378677
2070000000.0,0.819886,0.361656
2075000000.0,0.824331,0.348152
2080000000.0,0.833252,0.328166
2085000000.0,0.836606,0.311584
2090000000.0,0.843172,0.296092
2095000000.0,0.851304,0.274231
2100000000.0,0.850552,0.268627
2105000000.0,0.852161,0.249111
2110000000.0,0.861752,0.222399
2115000000.0,0.869611,0.189452
2120000000.0,0.8671,0.191912
2125000000.0,0.877531,0.176072
2130000000.0,0.867435,0.138727
2135000000.0,0.873642,0.132482
2140000000.0,0.875601,0.105903
2145000000.0,0.88111,0.084098
2150000000.0,0.875005,0.073477
2155000000.0,0.875388,0.042004
2160000000.0,0.878775,0.02463
2165000000.0,0.875352,0.041009
2170000000.0,0.863782,-0.010962
2175000000.0,0.854547,-0.078745
2180000000.0,0.857784,-0.047942
2185000000.0,0.848448,-0.077979
2190000000.0,0.847436,-0.102433
2195000000.0,0.83914,-0.114604
2200000000.0,0.835138,-0.142756
2205000000.0,0.826892,-0.163017
2210000000.0,0.821278,-0.185055
2215000000.0,0.810655,-0.193864
2220000000.0,0.797143,-0.226048
2225000000.0,0.785307,-0.250693
2230000000.0,0.772914,-0.266473
2235000000.0,0.760365,-0.303956
2240000000.0,0.737894,-0.315014
2245000000.0,0.704319,-0.343269
2250000000.0,0.701073,-0.369201
2255000000.0,0.682733,-0.398185
2260000000.0,0.657461,-0.395345
2265000000.0,0.619888,-0.441348
2270000000.0,0.591418,-0.436646
2275000000.0,0.563831,-0.454837
2280000000.0,0.517597,-0.48403
2285000000.0,0.487621,-0.478519
2290000000.0,0.434234,-0.492142
2295000000.0,0.401893,-0.48305
2300000000.0,0.320782,-0.498644
2305000000.0,0.31045,-0.469475
2310000000.0,0.280795,-0.443137
2315000000.0,0.24293,-0.419202
2320000000.0,0.209327,-0.396152
2325000000.0,0.200596,-0.36245
2330000000.0,0.173679,-0.335577
2335000000.0,0.166467,-0.300016
2340000000.0,0.153595,-0.271787
2345000000.0,0.154945,-0.24092
2350000000.0,0.154381,-0.215657
2355000000.0,0.159088,-0.192207
2360000000.0,0.167589,-0.167784
2365000000.0,0.17298,-0.150956
2370000000.0,0.184087,-0.135682
2375000000.0,0.192847,-0.122195
2380000000.0,0.206747,-0.10914
2385000000.0,0.218618,-0.101222
2390000000.0,0.231265,-0.09313
2395000000.0,0.239599,-0.089015
2400000000.0,0.253457,-0.086788
2405000000.0,0.260979,-0.090761
2410000000.0,0.270685,-0.090252
2415000000.0,0.278804,-0.0924
2420000000.0,0.285279,-0.10147
2425000000.0,0.287311,-0.106447
2430000000.0,0.288838,-0.117248
2435000000.0,0.292108,-0.119864
2440000000.0,0.289597,-0.123984
2445000000.0,0.282989,-0.129287
2450000000.0,0.272467,-0.144853
2455000000.0,0.2597,-0.150977
2460000000.0,0.254416,-0.146738
2465000000.0,0.242328,-0.147857
2470000000.0,0.232892,-0.143833
2475000000.0,0.218592,-0.137754
2480000000.0,0.212684,-0.12737
2485000000.0,0.197007,-0.116709
2490000000.0,0.195334,-0.102083
2495000000.0,0.18837,-0.086032
2500000000.0,0.18132,-0.071946
2505000000.0,0.182648,-0.053881
2510000000.0,0.187483,-0.036034
2515000000.0,0.192187,-0.014431
2520000000.0,0.199866,0.018454
2525000000.0,0.20695,0.019849
2530000000.0,0.219057,0.029967
2535000000.0,0.236834,0.031022
