Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.701372,0.56891
2005000000.0,0.704687,0.563135
2010000000.0,0.723764,0.548815
2015000000.0,0.724928,0.546113
2020000000.0,0.742267,0.522582
2025000000.0,0.74632,0.518985
2030000000.0,0.761206,0.497065
2035000000.0,0.767362,0.490125
2040000000.0,0.777391,0.472211
2045000000.0,0.780362,0.473976
2050000000.0,0.796052,0.454027
2055000000.0,0.79864,0.449028
2060000000.0,0.807518,0.421765
2065000000.0,0.820515,0.399411
2070000000.0,0.828246,0.389503
2075000000.0,0.837157,0.379706
2080000000.0,0.843288,0.369138
2085000000.0,0.854411,0.338536
2090000000.0,0.869126,0.283907
2095000000.0,0.865094,0.313872
2100000000.0,0.867313,0.287797
2105000000.0,0.873826,0.271291
2110000000.0,0.877431,0.261075
2115000000.0,0.883838,0.226554
2120000000.0,0.883259,0.244343
2125000000.0,0.892523,0.201785
2130000000.0,0.890174,0.177179
2135000000.0,0.893663,0.157286
2140000000.0,0.899413,0.134894
2145000000.0,0.897606,0.118003
2150000000.0,0.894884,0.102291
2155000000.0,0.899518,0.0853
2160000000.0,0.904785,0.064627
2165000000.0,0.901476,0.0397
2170000000.0,0.8919,0.032352
2175000000.0,0.881706,-0.000732
2180000000.0,0.884704,-0.019097
2185000000.0,0.880499,-0.045123
2190000000.0,0.878828,-0.069399
2195000000.0,0.872987,-0.071805
2200000000.0,0.866805,-0.118709
2205000000.0,0.865089,-0.140018
2210000000.0,0.854245,-0.154275
2215000000.0,0.85264,-0.158663
2220000000.0,0.846467,-0.192064
2225000000.0,0.824175,-0.217026
2230000000.0,0.822833,-0.236034
2235000000.0,0.813688,-0.271511
2240000000.0,0.79247,-0.287964
2245000000.0,0.777851,-0.300085
2250000000.0,0.767077,-0.341206
2255000000.0,0.766819,-0.358879
2260000000.0,0.725122,-0.368692
2265000000.0,0.717197,-0.410161
2270000000.0,0.676185,-0.437674
2275000000.0,0.686279,-0.430244
2280000000.0,0.658298,-0.468974
2285000000.0,0.63537,-0.476967
2290000000.0,0.606029,-0.485211
2295000000.0,0.575392,-0.508361
2300000000.0,0.501913,-0.553215
2305000000.0,0.496795,-0.533665
2310000000.0,0.463979,-0.534215
2315000000.0,0.41774,-0.539415
2320000000.0,0.367824,-0.545319
2325000000.0,0.338564,-0.532734
2330000000.0,0.299565,-0.522338
2335000000.0,0.264748,-0.504032
2340000000.0,0.218467,-0.483911
2345000000.0,0.202724,-0.459748
2350000000.0,0.17478,-0.433656
2355000000.0,0.154715,-0.415846
2360000000.0,0.145922,-0.380071
2365000000.0,0.121568,-0.354047
2370000000.0,0.119256,-0.321943
2375000000.0,0.109766,-0.29651
2380000000.0,0.11105,-0.271136
2385000000.0,0.109638,-0.247827
2390000000.0,0.118108,-0.224233
2395000000.0,0.123368,-0.20456
2400000000.0,0.129981,-0.187054
2405000000.0,0.134052,-0.173667
2410000000.0,0.145039,-0.161474
2415000000.0,0.173415,-0.129698
2420000000.0,0.166391,-0.144541
2425000000.0,0.1758,-0.136591
2430000000.0,0.185005,-0.136195
2435000000.0,0.190753,-0.131995
2440000000.0,0.197883,-0.128738
2445000000.0,0.203314,-0.13567
2450000000.0,0.197614,-0.14066
2455000000.0,0.197938,-0.143209
2460000000.0,0.195093,-0.14208
2465000000.0,0.192471,-0.145395
2470000000.0,0.185431,-0.143792
2475000000.0,0.177832,-0.139861
2480000000.0,0.17211,-0.134524
2485000000.0,0.163994,-0.133922
2490000000.0,0.156453,-0.115
2495000000.0,0.14883,-0.106369
2500000000.0,0.143534,-0.094092
2505000000.0,0.136786,-0.076657
2510000000.0,0.139617,-0.061064
2515000000.0,0.140815,-0.043569
2520000000.0,0.144354,-0.028371
2525000000.0,0.151837,-0.006526
2530000000.0,0.16003,0.008561
2535000000.0,0.172629,0.016486
2540000000.0,0.183924,0.040421
2545000000.0,0.199251,0.052689
2550000000.0,0.212548,0.067245
2555000000.0,0.231586,0.076779
2560000000.0,0.247362,0.080709
2565000000.0,0.268395,0.090661
2570000000.0,0.285444,0.092917
2575000000.0,0.309223,0.108587
2580000000.0,0.326876,0.111747
2585000000.0,0.351473,0.10924
2590000000.0,0.373405,0.111994
2595000000.0,0.400566,0.11504
2600000000.0,0.423799,0.117146
2605000000.0,0.44885,0.108249
2610000000.0,0.479122,0.097945
2615000000.0,0.505325,0.081288
2620000000.0,0.529071,0.080854
2625000000.0,0.55919,0.107025
2630000000.0,0.592225,0.036853
2635000000.0,0.612026,0.114958
2640000000.0,0.638027,-0.019949
2645000000.0,0.662203,-0.039536
2650000000.0,0.666857,-0.11064
2655000000.0,0.683159,-0.11904
2660000000.0,0.703723,-0.142508
2665000000.0,0.701354,-0.195724
2670000000.0,0.708577,-0.226406
2675000000.0,0.700581,-0.248439
2680000000.0,0.690546,-0.295135
2685000000.0,0.684872,-0.328052
2690000000.0,0.667886,-0.378899
2695000000.0,0.665015,-0.383252
2700000000.0,0.653557,-0.414437
2705000000.0,0.598139,-0.463863
2710000000.0,0.591764,-0.477633
2715000000.0,0.567233,-0.499565
2720000000.0,0.543814,-0.527473
2725000000.0,0.503943,-0.546223
2730000000.0,0.488417,-0.551852
2735000000.0,0.460065,-0.566758
2740000000.0,0.445077,-0.589447
2745000000.0,0.411921,-0.588072
2750000000.0,0.373929,-0.592624
2755000000.0,0.350592,-0.598728
2760000000.0,0.299031,-0.608387
2765000000.0,0.267355,-0.602504
2770000000.0,0.25552,-0.593689
2775000000.0,0.23175,-0.583525
2780000000.0,0.200703,-0.565943
2785000000.0,0.198656,-0.548389
2790000000.0,0.155434,-0.529477
2795000000.0,0.146609,-0.502354
2800000000.0,0.114085,-0.486681
2805000000.0,0.110652,-0.4645
2810000000.0,0.104987,-0.430105
2815000000.0,0.093513,-0.416231
2820000000.0,0.109688,-0.395613
2825000000.0,0.10891,-0.379815
2830000000.0,0.13283,-0.362731
2835000000.0,0.123771,-0.353132
2840000000.0,0.150282,-0.339646
2845000000.0,0.151739,-0.338245
2850000000.0,0.169527,-0.332373
2855000000.0,0.166945,-0.334127
2860000000.0,0.201307,-0.321609
2865000000.0,0.202458,-0.326972
2870000000.0,0.229627,-0.320045
2875000000.0,0.210361,-0.334241
2880000000.0,0.228549,-0.339319
2885000000.0,0.237289,-0.346551
2890000000.0,0.243353,-0.35169
2895000000.0,0.254973,-0.362902
2900000000.0,0.261339,-0.368295
2905000000.0,0.263808,-0.372676
2910000000.0,0.266132,-0.387391
2915000000.0,0.268767,-0.398107
2920000000.0,0.274755,-0.404986
2925000000.0,0.27582,-0.415579
2930000000.0,0.280553,-0.431046
2935000000.0,0.264973,-0.447305
2940000000.0,0.286186,-0.449733
2945000000.0,0.287678,-0.458729
2950000000.0,0.26624,-0.480371
2955000000.0,0.265414,-0.495048
2960000000.0,0.267845,-0.502128
2965000000.0,0.270134,-0.509597
2970000000.0,0.26749,-0.52413
2975000000.0,0.255797,-0.541003
2980000000.0,0.23143,-0.559251
2985000000.0,0.230829,-0.56914
2990000000.0,0.218459,-0.58431
2995000000.0,0.215859,-0.590816
3000000000.0,0.194441,-0.606275
