Freq (Hz),Real Part,Imaginary Part
2000000000.0,0.674166,0.598577
2005000000.0,0.680435,0.594696
2010000000.0,0.693682,0.579636
2015000000.0,0.696372,0.573465
2020000000.0,0.707828,0.560471
2025000000.0,0.724095,0.553214
2030000000.0,0.730937,0.536447
2035000000.0,0.734695,0.537739
2040000000.0,0.744627,0.512965
2045000000.0,0.746621,0.518203
2050000000.0,0.759842,0.495083
2055000000.0,0.765394,0.492364
2060000000.0,0.773507,0.474782
2065000000.0,0.783183,0.460316
2070000000.0,0.793765,0.444682
2075000000.0,0.800539,0.434179
2080000000.0,0.803262,0.42553
2085000000.0,0.810082,0.402921
2090000000.0,0.825062,0.388025
2095000000.0,0.842983,0.335651
2100000000.0,0.829732,0.371292
2105000000.0,0.843166,0.3459
2110000000.0,0.844797,0.33472
2115000000.0,0.860205,0.311689
2120000000.0,0.861005,0.317435
2125000000.0,0.86501,0.291769
2130000000.0,0.86584,0.275881
2135000000.0,0.868744,0.267037
2140000000.0,0.874026,0.245883
2145000000.0,0.852866,0.339265
2150000000.0,0.878892,0.218975
2155000000.0,0.883654,0.212015
2160000000.0,0.896018,0.187027
2165000000.0,0.893015,0.177357
2170000000.0,0.896677,0.17705
2175000000.0,0.890356,0.139592
2180000000.0,0.899574,0.132551
2185000000.0,0.897335,0.104743
2190000000.0,0.902041,0.089207
2195000000.0,0.898033,0.099577
2200000000.0,0.898232,0.070833
2205000000.0,0.900488,0.042638
2210000000.0,0.903147,0.043679
2215000000.0,0.896879,0.022663
2220000000.0,0.895998,0.006646
2225000000.0,0.893836,-0.00552
2230000000.0,0.895833,-0.020741
2235000000.0,0.900655,-0.046661
2240000000.0,0.887493,-0.058667
2245000000.0,0.886652,-0.066904
2250000000.0,0.890009,-0.096517
2255000000.0,0.893791,-0.102935
2260000000.0,0.880793,-0.121275
2265000000.0,0.876072,-0.143629
2270000000.0,0.876901,-0.141958
2275000000.0,0.881133,-0.154518
2280000000.0,0.8788,-0.183283
2285000000.0,0.864389,-0.200774
2290000000.0,0.864785,-0.207301
2295000000.0,0.865626,-0.208779
2300000000.0,0.842257,-0.292669
2305000000.0,0.852294,-0.270587
2310000000.0,0.85839,-0.258823
2315000000.0,0.837488,-0.294721
2320000000.0,0.824792,-0.327253
2325000000.0,0.822662,-0.33146
2330000000.0,0.817695,-0.352056
2335000000.0,0.806737,-0.361622
2340000000.0,0.790328,-0.387953
2345000000.0,0.771807,-0.411968
2350000000.0,0.774526,-0.411237
2355000000.0,0.760677,-0.43974
2360000000.0,0.755899,-0.433441
2365000000.0,0.731261,-0.46352
2370000000.0,0.723651,-0.473659
2375000000.0,0.699475,-0.48899
2380000000.0,0.689713,-0.497294
2385000000.0,0.671059,-0.509537
2390000000.0,0.663527,-0.520996
2395000000.0,0.647879,-0.518494
2400000000.0,0.637147,-0.533371
2405000000.0,0.619812,-0.539227
2410000000.0,0.60572,-0.547741
2415000000.0,0.598426,-0.54563
2420000000.0,0.576872,-0.5726
2425000000.0,0.573813,-0.569506
2430000000.0,0.543985,-0.576317
2435000000.0,0.538163,-0.572948
2440000000.0,0.527194,-0.577376
2445000000.0,0.520532,-0.592562
2450000000.0,0.490008,-0.602717
2455000000.0,0.481795,-0.603104
2460000000.0,0.46726,-0.616746
2465000000.0,0.452761,-0.625572
2470000000.0,0.449357,-0.631952
2475000000.0,0.436937,-0.63929
2480000000.0,0.432363,-0.647247
2485000000.0,0.419049,-0.659337
2490000000.0,0.401873,-0.656429
2495000000.0,0.38082,-0.66698
2500000000.0,0.324833,-0.689571
2505000000.0,0.379168,-0.656921
2510000000.0,0.341043,-0.686538
2515000000.0,0.311195,-0.693694
2520000000.0,0.292116,-0.694899
2525000000.0,0.285457,-0.699623
2530000000.0,0.262497,-0.707619
2535000000.0,0.218431,-0.715548
2540000000.0,0.223245,-0.715035
2545000000.0,0.197876,-0.708031
2550000000.0,0.174671,-0.704922
2555000000.0,0.15588,-0.705921
2560000000.0,0.13481,-0.695134
2565000000.0,0.126695,-0.704511
2570000000.0,0.078856,-0.690786
2575000000.0,0.081208,-0.696973
2580000000.0,0.065355,-0.691474
2585000000.0,0.042794,-0.681037
2590000000.0,0.028748,-0.678465
2595000000.0,0.00063,-0.665801
2600000000.0,-0.008032,-0.663969
2605000000.0,-0.032084,-0.641983
2610000000.0,-0.036566,-0.634152
2615000000.0,-0.053022,-0.629946
2620000000.0,-0.078708,-0.612516
2625000000.0,-0.082249,-0.606321
2630000000.0,-0.086788,-0.593598
2635000000.0,-0.101011,-0.5844
2640000000.0,-0.119684,-0.562567
2645000000.0,-0.12526,-0.54904
2650000000.0,-0.158952,-0.528152
2655000000.0,-0.151611,-0.507501
2660000000.0,-0.163739,-0.498121
2665000000.0,-0.175886,-0.483114
2670000000.0,-0.178324,-0.468969
2675000000.0,-0.17901,-0.452451
2680000000.0,-0.194384,-0.432319
2685000000.0,-0.196501,-0.418674
2690000000.0,-0.199337,-0.404857
2695000000.0,-0.219016,-0.376681
2700000000.0,-0.19455,-0.378263
2705000000.0,-0.17523,-0.383032
2710000000.0,-0.200937,-0.354664
2715000000.0,-0.202837,-0.345969
2720000000.0,-0.202418,-0.335174
2725000000.0,-0.202256,-0.325823
2730000000.0,-0.194685,-0.316018
2735000000.0,-0.194321,-0.308886
2740000000.0,-0.19546,-0.30411
2745000000.0,-0.195449,-0.289145
2750000000.0,-0.194052,-0.279634
2755000000.0,-0.187167,-0.270519
2760000000.0,-0.184929,-0.2661
2765000000.0,-0.186738,-0.253287
2770000000.0,-0.180885,-0.248808
2775000000.0,-0.182782,-0.241431
2780000000.0,-0.180109,-0.235881
2785000000.0,-0.173338,-0.23028
2790000000.0,-0.175778,-0.216727
2795000000.0,-0.165063,-0.214125
2800000000.0,-0.166682,-0.203289
2805000000.0,-0.171184,-0.197454
2810000000.0,-0.161857,-0.194644
2815000000.0,-0.1715,-0.179375
2820000000.0,-0.161092,-0.178142
2825000000.0,-0.160734,-0.169706
2830000000.0,-0.151243,-0.173536
2835000000.0,-0.157634,-0.158442
2840000000.0,-0.147531,-0.15321
2845000000.0,-0.148533,-0.148003
2850000000.0,-0.139239,-0.150786
2855000000.0,-0.141374,-0.133024
2860000000.0,-0.132938,-0.137427
2865000000.0,-0.128457,-0.126443
2870000000.0,-0.121862,-0.126888
2875000000.0,-0.118212,-0.117069
2880000000.0,-0.11583,-0.113741
2885000000.0,-0.10994,-0.108522
2890000000.0,-0.102176,-0.105634
2895000000.0,-0.097186,-0.101664
2900000000.0,-0.089877,-0.100147
2905000000.0,-0.08528,-0.093994
2910000000.0,-0.082269,-0.089711
2915000000.0,-0.070529,-0.094243
2920000000.0,-0.064288,-0.093773
2925000000.0,-0.057555,-0.093095
2930000000.0,-0.051758,-0.094312
2935000000.0,-0.047791,-0.093132
2940000000.0,-0.039847,-0.097075
2945000000.0,-0.035308,-0.097539
2950000000.0,-0.032614,-0.098517
2955000000.0,-0.028255,-0.101184
2960000000.0,-0.023579,-0.102998
2965000000.0,-0.018745,-0.106384
2970000000.0,-0.017762,-0.10865
2975000000.0,-0.014096,-0.111238
2980000000.0,-0.016862,-0.111125
2985000000.0,-0.012458,-0.115947
2990000000.0,-0.012967,-0.116744
2995000000.0,-0.00842,-0.119162
3000000000.0,-0.012849,-0.121231
