Freq (Hz),Real Part,Imaginary Part
2500000000.0,0.641761,-0.675482
2502500000.0,0.632213,-0.689473
2505000000.0,0.610816,-0.683474
2507500000.0,0.602659,-0.689293
2510000000.0,0.607184,-0.696243
2512500000.0,0.609117,-0.685212
2515000000.0,0.594161,-0.701402
2517500000.0,0.596754,-0.704863
2520000000.0,0.575014,-0.724828
2522500000.0,0.569831,-0.723035
2525000000.0,0.567981,-0.737042
2527500000.0,0.565354,-0.732859
2530000000.0,0.558066,-0.737552
2532500000.0,0.542619,-0.747732
2535000000.0,0.535902,-0.750876
2537500000.0,0.541613,-0.755341
2540000000.0,0.519725,-0.750672
2542500000.0,0.513569,-0.763539
2545000000.0,0.5112,-0.76928
2547500000.0,0.493524,-0.769406
2550000000.0,0.481372,-0.771156
2552500000.0,0.47676,-0.774766
2555000000.0,0.466529,-0.778176
2557500000.0,0.473919,-0.783938
2560000000.0,0.468495,-0.771648
2562500000.0,0.462845,-0.787769
2565000000.0,0.454134,-0.794355
2567500000.0,0.450396,-0.802321
2570000000.0,0.440362,-0.804573
2572500000.0,0.428793,-0.805724
2575000000.0,0.434176,-0.809503
2577500000.0,0.413102,-0.816941
2580000000.0,0.408589,-0.814083
2582500000.0,0.393696,-0.818878
2585000000.0,0.388643,-0.827261
2587500000.0,0.377984,-0.82774
2590000000.0,0.359467,-0.827399
2592500000.0,0.366668,-0.831544
2595000000.0,0.33242,-0.848196
2597500000.0,0.347601,-0.84167
2600000000.0,0.343328,-0.84427
2602500000.0,0.337844,-0.848721
2605000000.0,0.327,-0.860125
2607500000.0,0.332478,-0.858885
2610000000.0,0.322475,-0.864052
2612500000.0,0.308177,-0.864165
2615000000.0,0.300877,-0.876341
2617500000.0,0.283594,-0.873313
2620000000.0,0.257532,-0.883535
2622500000.0,0.270334,-0.888719
2625000000.0,0.254299,-0.885163
2627500000.0,0.260472,-0.894764
2630000000.0,0.250932,-0.904039
2632500000.0,0.238057,-0.903984
2635000000.0,0.24045,-0.899545
2637500000.0,0.231088,-0.915338
2640000000.0,0.212049,-0.90931
2642500000.0,0.201798,-0.919129
2645000000.0,0.185771,-0.928646
2647500000.0,0.183981,-0.923082
2650000000.0,0.154906,-0.924304
2652500000.0,0.151046,-0.925913
2655000000.0,0.146338,-0.933033
2657500000.0,0.140821,-0.93101
